page|72
项目|附注|2019 年度|2018 年度
一、营业总收入|七、59|10,130,234,608.77|9,667,479,302.57
其中：营业收入|七、59|10,130,234,608.77|9,667,479,302.57
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本|七、59|9,385,358,519.68|8,948,568,514.75
其中：营业成本|七、59|7,972,506,121.60|7,703,938,658.34
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、60|80,583,317.32|80,753,811.02
销售费用|七、61|492,903,309.15|462,121,891.42
管理费用|七、62|344,310,599.09|327,757,936.55
研发费用|七、63|492,442,679.78|393,830,317.96
财务费用|七、64|2,612,492.74|-19,834,100.54
其中：利息费用||16,294,939.05|12,323,500.26
利息收入||9,428,505.83|26,198,947.59
加：其他收益|七、65|29,381,104.04|37,637,957.03
投资收益（损失以“－”号填列）|七、66|95,792,399.86|88,946,430.35
其中：对联营企业和合营企业的投资收益||-1,120,669.46|1,084,497.87
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|七、68|15,009,298.62|
信用减值损失（损失以“-”号填列）|七、69|-2,277,959.90|
资产减值损失（损失以“-”号填列）|七、70|-2,613,144.81|-18,767,628.13
资产处置收益（损失以“－”号填列）|七、71|1,348,723.72|4,349,927.05
三、营业利润（亏损以“－”号填列）||881,516,510.62|831,077,474.12
加：营业外收入|七、72|29,531,900.91|17,127,967.85
减：营业外支出|七、73|4,292,435.97|3,523,771.93
四、利润总额（亏损总额以“－”号填列）||906,755,975.56|844,681,670.04
减：所得税费用|七、74|129,751,720.61|132,916,984.11
五、净利润（净亏损以“－”号填列）||777,004,254.95|711,764,685.93
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||777,004,254.95|711,764,685.93
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||651,343,432.89|582,641,354.26
page|73
2.少数股东损益（净亏损以“-”号填列）||125,660,822.06|129,123,331.67
六、其他综合收益的税后净额||611,336.68|63,000.87
（一）归属母公司所有者的其他综合收益的税后净额||532,947.24|-7,638.10
1．不能重分类进损益的其他综合收益|||
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动|||
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||532,947.24|-7,638.10
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||532,947.24|-7,638.10
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||78,389.44|70,638.97
七、综合收益总额||777,615,591.63|711,827,686.80
（一）归属于母公司所有者的综合收益总额||651,876,380.13|582,633,716.16
（二）归属于少数股东的综合收益总额||125,739,211.50|129,193,970.64
八、每股收益：|||
（一）基本每股收益(元/股)||0.88|0.79
（二）稀释每股收益(元/股)||0.88|0.79
