page|77
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|6,684,578,746.74|8,851,333,545.79
结算备付金||
拆出资金||
交易性金融资产|1,310,646,789.96|
以公允价值计量且其变动计入当期损益的金融资产||1,130,120,125.00
page|78
衍生金融资产|569,280.00|
应收票据|605,133,835.00|7,282,277,346.40
应收账款|3,589,961,855.67|3,213,028,039.52
应收款项融资|6,995,585,606.41|
预付款项|1,449,886,055.87|1,860,032,297.34
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|153,266,830.02|182,420,627.98
其中：应收利息||44,937,379.39
应收股利|4,269,177.55|4,269,177.55
买入返售金融资产|185,220,000.00|211,600,000.00
存货|8,496,560,610.97|8,424,909,235.17
合同资产||
持有待售资产||
一年内到期的非流动资产|1,601,367,405.64|395,600,000.00
其他流动资产|1,674,338,230.02|963,725,693.62
流动资产合计|32,747,115,246.30|32,515,046,910.82
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||74,767,185.62
其他债权投资||
持有至到期投资||
长期应收款|10,000,000.00|30,000,000.00
长期股权投资|288,876,914.35|261,043,537.16
其他权益工具投资|20,100,534.66|
其他非流动金融资产|51,566,600.40|
投资性房地产|67,298,871.34|14,258,688.34
固定资产|42,163,232,846.77|44,280,227,118.59
在建工程|2,801,083,025.13|1,183,887,412.58
生产性生物资产||
油气资产||
使用权资产||
page|79
无形资产|4,567,801,287.04|4,377,259,722.95
开发支出|1,737,531.42|9,999,009.59
商誉||
长期待摊费用||
递延所得税资产|209,078,149.49|371,259,532.92
其他非流动资产|425,721.54|1,334,879.40
非流动资产合计|50,181,201,482.14|50,604,037,087.15
资产总计|82,928,316,728.44|83,119,083,997.97
流动负债：||
短期借款|15,755,292,399.24|12,992,544,925.89
向中央银行借款||
拆入资金|800,000,000.00|
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|6,882,835,727.88|6,482,382,276.99
应付账款|5,434,238,553.25|5,062,453,951.42
预收款项|3,848,483,349.82|4,233,757,887.67
合同负债||
卖出回购金融资产款|1,473,722,470.93|548,450,000.00
吸收存款及同业存放|2,752,610,733.28|4,252,628,242.51
代理买卖证券款||
代理承销证券款||
应付职工薪酬|858,865,005.48|761,600,402.68
应交税费|365,890,409.46|1,028,045,066.88
其他应付款|4,742,874,195.12|4,375,613,353.13
其中：应付利息||82,461,046.38
应付股利|49,952,900.40|86,600,239.33
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|4,263,478,457.87|1,485,711,761.61
其他流动负债|176,841,622.35|
流动负债合计|47,355,132,924.68|41,223,187,868.78
page|80
非流动负债：||
保险合同准备金||
长期借款|2,022,500,000.00|6,326,550,004.33
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|128,491,998.85|3,820,111,271.43
长期应付职工薪酬|354,605,789.46|243,549,901.47
预计负债||
递延收益|538,561,778.28|513,885,708.64
递延所得税负债|1,150,037.12|890,500.73
其他非流动负债||
非流动负债合计|3,045,309,603.71|10,904,987,386.60
负债合计|50,400,442,528.39|52,128,175,255.38
所有者权益：||
股本|6,129,077,211.00|3,015,650,025.00
其他权益工具||
其中：优先股||
永续债||
资本公积|10,626,121,139.27|8,714,312,335.84
减：库存股||
其他综合收益|29,633,949.23|25,123,930.03
专项储备||
盈余公积|947,063,305.19|838,325,831.26
一般风险准备||
未分配利润|10,488,068,120.16|7,198,641,829.80
归属于母公司所有者权益合计|28,219,963,724.85|19,792,053,951.93
少数股东权益|4,307,910,475.20|11,198,854,790.66
所有者权益合计|32,527,874,200.05|30,990,908,742.59
负债和所有者权益总计|82,928,316,728.44|83,119,083,997.97
