page|87
项目|附注|2019 年度|2018 年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||9,289,993,553.03|8,300,095,856.34
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||872,837.24|893,354.27
收到其他与经营活动有关的现金|七、78|72,174,354.88|66,723,433.81
经营活动现金流入小计||9,363,040,745.15|8,367,712,644.42
购买商品、接受劳务支付的现金||1,726,774,836.77|1,195,509,636.24
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||1,779,068,871.03|1,585,571,726.74
支付的各项税费||1,211,777,507.44|1,264,544,155.08
支付其他与经营活动有关的现金|七、78|3,205,631,059.02|2,853,047,495.15
经营活动现金流出小计||7,923,252,274.26|6,898,673,013.21
经营活动产生的现金流量净额||1,439,788,470.89|1,469,039,631.21
二、投资活动产生的现金流量：|||
收回投资收到的现金||2,302,848,378.26|1,650,000,000.00
取得投资收益收到的现金||39,846,471.85|28,661,919.82
处置固定资产、无形资产和其他长期资产收回的现金净额||2,454,148.29|2,748,290.22
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、78|4,073,375.39|1,357,970.83
投资活动现金流入小计||2,349,222,373.79|1,682,768,180.87
购建固定资产、无形资产和其他长期资产支付的现金||241,646,073.40|228,689,850.21
投资支付的现金||3,064,080,127.50|2,019,710,696.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的||112,796,339.29|257,727,630.92
page|88
项目|附注|2019 年度|2018 年度
现金净额|||
支付其他与投资活动有关的现金|七、78|-|129,549.01
投资活动现金流出小计||3,418,522,540.19|2,506,257,726.14
投资活动产生的现金流量净额||-1,069,300,166.40|-823,489,545.27
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||89,800,000.00|220,000,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||89,800,000.00|220,000,000.00
偿还债务支付的现金||306,900,000.00|36,650,000.00
分配股利、利润或偿付利息支付的现金||303,620,393.85|133,453,032.13
其中：子公司支付给少数股东的股利、利润||4,456,231.86|42,339,680.00
支付其他与筹资活动有关的现金|七、78|4,138,795.44|853,038,888.08
筹资活动现金流出小计||614,659,189.29|1,023,141,920.21
筹资活动产生的现金流量净额||-524,859,189.29|-803,141,920.21
四、汇率变动对现金及现金等价物的影响||-26,360.73|43,572.43
五、现金及现金等价物净增加额|七、79|-154,397,245.53|-157,548,261.84
加：期初现金及现金等价物余额|七、79|1,089,796,758.02|1,247,345,019.86
六、期末现金及现金等价物余额|七、79|935,399,512.49|1,089,796,758.02
