page|133
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日|项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
资产||||负债|||
现金||15,306|15,814|向中央银行借款||359,175|405,314
贵金属||4,094|6,638|同业和其他金融机构     存放款项|23|555,581|470,826
存放中央银行款项|5|552,590|477,568|拆入资金|24|165,921|203,950
存放同业和其他金融机构款项|6|106,113|100,160|以公允价值计量且其变动     计入当期损益的     金融负债|25|43,434|44,144
拆出资金|7|307,433|313,411|衍生金融负债|57(f)|23,200|36,570
买入返售金融资产|8|108,961|199,386|卖出回购金融资产款|26|63,233|78,141
贷款和垫款|9|4,277,300|3,749,949|客户存款|27|4,874,981|4,427,566
衍生金融资产|57(f)|24,219|34,220|应付职工薪酬|28(a)|11,638|8,475
金融投资：||||应交税费|29|19,069|20,411
以公允价值计量且其变动计入     当期损益的金融投资|10|398,276|330,302   合同负债||30|6,488|5,607
以摊余成本计量的金融投资|11|921,228|916,012   租赁负债||17(b)|14,379|不适用
以公允价值计量且其变动计入     其他综合收益的债务工具     投资|12|478,856|421,070   预计负债||31|6,109|5,665
指定为以公允价值计量且其变动计入其他综合收益的     权益工具投资|13|6,077|4,015   应付债券||32|578,191|424,926
长期股权投资|14|10,784|8,871|递延所得税负债|20|956|1,211
投资性房地产|15|1,925|2,061   其他负债||33|77,178|69,318
固定资产|16|65,269|55,444   负债合计|||6,799,533|6,202,124
使用权资产|17(a)|14,862|不适用|股东权益|||
无形资产|18|9,713|9,150   股本||34|25,220|25,220
商誉|19|9,954||9,954   其他权益工具||34,065|34,065
递延所得税资产|20|65,151||58,374   其中：优先股|35|34,065|34,065
其他资产|21|39,129|33,330   资本公积||36|67,523|67,523
||||其他综合收益|37|10,441|6,725
||||盈余公积|38|62,291|53,682
||||一般风险准备|39|90,151|78,542
||||未分配利润|40(c)|321,610|274,361
||||其中：建议分配利润|40(b)|30,264|23,707
||||归属于本行股东权益合计||611,301|540,118
||||少数股东权益||6,406|3,487
||||其中：普通少数股东权益||2,427|2,329
||||永久性债务资本|61(a)|3,979|1,158
||||股东权益合计||617,707|543,605
资产合计||7,417,240|6,745,729|股东权益及负债总计||7,417,240|6,745,729
