page|78
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|213,743,010.81|133,983,939.73
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据|1,101,664.07|277,623,928.13
应收账款|861,496,771.58|781,215,643.89
应收款项融资|573,333,722.20|
预付款项|31,443,452.10|114,855,049.09
应收保费||
应收分保账款||
应收分保合同准备金||
page|79
其他应收款|41,390,516.58|26,332,955.74
其中：应收利息||7,800,232.76
应收股利|28,000,000.00|
买入返售金融资产||
存货|660,926,072.21|1,022,167,373.51
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|237,644,272.39|338,311,849.45
流动资产合计|2,621,079,481.94|2,694,490,739.54
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||288,700.00
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|655,312,367.55|662,590,158.00
其他权益工具投资||
其他非流动金融资产|288,700.00|
投资性房地产|29,115,661.86|30,763,683.73
固定资产|2,067,109,815.77|2,178,817,683.33
在建工程|33,321,697.05|38,735,958.38
生产性生物资产||
油气资产||
使用权资产||
无形资产|127,168,024.42|131,907,260.76
开发支出|3,550,832.92|7,752,439.97
商誉|11,547,305.29|11,547,305.29
长期待摊费用|3,478,736.33|4,755,506.18
递延所得税资产|31,250,198.70|31,549,345.48
其他非流动资产|8,420,488.55|1,495,963.49
非流动资产合计|2,970,563,828.44|3,100,204,004.61
资产总计|5,591,643,310.38|5,794,694,744.15
page|80
流动负债：||
短期借款|1,163,487,459.95|862,776,823.86
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|312,234,422.87|310,600,000.00
应付账款|321,955,510.64|464,643,787.56
预收款项|23,303,552.10|33,431,588.79
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|42,342,384.19|44,817,842.45
应交税费|13,467,917.06|41,288,520.29
其他应付款|49,222,655.01|179,737,877.39
其中：应付利息||6,315,962.71
应付股利|229,593.13|25,083,228.68
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|100,229,305.56|200,000,000.00
其他流动负债||
流动负债合计|2,026,243,207.38|2,137,296,440.34
非流动负债：||
保险合同准备金||
长期借款||100,000,000.00
应付债券||
其中：优先股||
永续债||
租赁负债||
page|81
长期应付款||
长期应付职工薪酬||
预计负债|1,696,811.00|1,508,735.64
递延收益|26,604,363.11|30,305,313.30
递延所得税负债|2,180,826.02|2,131,935.03
其他非流动负债||
非流动负债合计|30,482,000.13|133,945,983.97
负债合计|2,056,725,207.51|2,271,242,424.31
所有者权益：||
股本|505,425,000.00|505,425,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|256,822,373.42|256,822,373.42
减：库存股||
其他综合收益|169,714.39|169,714.39
专项储备||
盈余公积|199,022,513.20|196,399,250.80
一般风险准备||
未分配利润|1,045,211,890.50|1,012,130,481.68
归属于母公司所有者权益合计|2,006,651,491.51|1,970,946,820.29
少数股东权益|1,528,266,611.36|1,552,505,499.55
所有者权益合计|3,534,918,102.87|3,523,452,319.84
负债和所有者权益总计|5,591,643,310.38|5,794,694,744.15
