page|76
项目|附注|2019 年度|2018 年度
一、营业总收入||5,245,581,329.22|5,130,080,615.42
其中：营业收入|本节七、59|5,245,581,329.22|5,130,080,615.42
二、营业总成本||4,445,589,076.74|4,212,869,270.11
其中：营业成本|本节七、59|3,934,457,045.34|3,721,494,283.38
税金及附加|本节七、60|30,709,071.32|36,529,097.36
销售费用|||
管理费用|本节七、62|192,949,775.50|183,248,465.50
研发费用|||
财务费用|本节七、64|287,473,184.58|271,597,423.87
其中：利息费用||293,272,637.05|275,510,699.34
利息收入||6,180,728.14|10,440,405.39
加：其他收益|本节七、65|17,672,046.04|4,531,992.50
投资收益（损失以“－”号填列）|本节七、66|72,131,714.44|24,197,070.83
其中：对联营企业和合营企业的投资收益||25,588,185.79|24,197,070.83
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|本节七、69|2,431,673.72|
资产减值损失（损失以“-”号填列）|本节七、70||-9,735,756.15
资产处置收益（损失以“－”号填列）|本节七、71|44,944,719.30|9,338,396.58
三、营业利润（亏损以“－”号填列）||937,172,405.98|945,543,049.07
加：营业外收入|本节七、72|7,215,439.09|1,275,466.09
减：营业外支出|本节七、73|6,455,740.69|1,087,075.17
四、利润总额（亏损总额以“－”号填列）||937,932,104.38|945,731,439.99
减：所得税费用|本节七、74|223,432,271.49|210,457,401.04
五、净利润（净亏损以“－”号填列）||714,499,832.89|735,274,038.95
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||714,499,832.89|735,274,038.95
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||631,340,872.40|644,371,989.59
2.少数股东损益（净亏损以“-”号填列）||83,158,960.49|90,902,049.36
六、其他综合收益的税后净额||-243,616.77|
（一）归属母公司所有者的其他综合收益的税后净额||-243,616.77|
1．不能重分类进损益的其他综合收益||-243,616.77|
（1）其他权益工具投资公允价值变动||-243,616.77|
2．将重分类进损益的其他综合收益|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||714,256,216.12|735,274,038.95
（一）归属于母公司所有者的综合收益总额||631,097,255.63|644,371,989.59
（二）归属于少数股东的综合收益总额||83,158,960.49|90,902,049.36
八、每股收益：|||
（一）基本每股收益(元/股)||0.21|0.21
（二）稀释每股收益(元/股)||0.21|0.21
