page|117
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||50,382,946,499.14|45,022,934,949.13
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||344,307,637.41|245,590,736.75
收到其他与经营活动有关的现金|七、76(1)|460,309,577.62|169,711,976.77
经营活动现金流入小计||51,187,563,714.17|45,438,237,662.65
购买商品、接受劳务支付的现金||41,052,730,547.63|34,916,042,955.60
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||2,619,061,113.12|2,572,366,945.04
支付的各项税费||2,218,445,065.53|2,241,510,311.53
支付其他与经营活动有关的现金|七、76(2)|948,835,082.71|769,844,767.90
经营活动现金流出小计||46,839,071,808.99|40,499,764,980.07
经营活动产生的现金流量净额||4,348,491,905.18|4,938,472,682.58
二、投资活动产生的现金流量：|||
收回投资收到的现金||160,669,102.60|139,402,819.10
取得投资收益收到的现金||217,959,390.19|2,359,914.54
处置固定资产、无形资产和其他长期资产收回的现金净额||6,051,955.86|26,835,136.34
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、76(3)|6,717,275,422.07|12,305,200,017.32
page|118
投资活动现金流入小计||7,101,955,870.72|12,473,797,887.30
购建固定资产、无形资产和其他长期资产支付的现金||1,257,134,050.44|629,505,285.88
投资支付的现金||180,346,425.18|1,721,034,652.47
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、76(4)|6,585,180,968.98|12,736,740,749.26
投资活动现金流出小计||8,022,661,444.60|15,087,280,687.61
投资活动产生的现金流量净额||-920,705,573.88|-2,613,482,800.31
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||36,634,630.00|84,706,320.00
其中：子公司吸收少数股东投资收到的现金||14,060,000.00|40,020,000.00
取得借款收到的现金||18,058,307,022.64|13,613,443,569.55
收到其他与筹资活动有关的现金|七、76(5)|778,312,520.22|82,265,578.00
筹资活动现金流入小计||18,873,254,172.86|13,780,415,467.55
偿还债务支付的现金||18,572,942,197.89|14,785,967,711.48
分配股利、利润或偿付利息支付的现金||1,605,271,165.61|1,011,785,769.90
其中：子公司支付给少数股东的股利、利润||66,587,767.38|341,941,233.46
支付其他与筹资活动有关的现金|七、76(6)|1,302,201,134.57|169,098.45
筹资活动现金流出小计||21,480,414,498.07|15,797,922,579.83
筹资活动产生的现金流量净额||-2,607,160,325.21|-2,017,507,112.28
四、汇率变动对现金及现金等价物的影响||-5,915,160.23|20,055,895.82
五、现金及现金等价物净增加额||814,710,845.86|327,538,665.81
加：期初现金及现金等价物余额||1,355,318,741.25|1,027,780,075.44
六、期末现金及现金等价物余额|七、77(4)|2,170,029,587.11|1,355,318,741.25
