page|74
项目|2019 年度|2018 年度
一、营业总收入|414,866,330.97|402,400,221.06
其中：营业收入|414,866,330.97|402,400,221.06
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|418,877,553.90|395,577,249.92
其中：营业成本|93,398,027.44|65,969,322.87
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|7,299,355.90|7,249,434.58
销售费用|211,350,849.00|209,959,034.51
管理费用|47,834,050.19|47,320,686.05
研发费用|53,213,431.86|69,654,568.31
财务费用|5,781,839.51|-4,575,796.40
其中：利息费用|7,488,004.03|1,150,650.55
利息收入|1,772,831.44|5,838,398.76
加：其他收益|12,243,151.22|12,429,285.59
投资收益（损失以“－”号填列）|5,133,053.26|-4,045,997.97
其中：对联营企业和合营企业的投资收益|1,183,264.58|-4,045,997.97
page|75
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|472,666.00|
资产减值损失（损失以“-”号填列）|-1,307,211.65|-786,269.83
资产处置收益（损失以“-”号填列）|16,419.31|-2,370,966.49
三、营业利润（亏损以“－”号填列）|12,546,855.21|12,049,022.44
加：营业外收入|961,530.52|840,578.51
减：营业外支出|1,358,905.58|1,131,519.46
四、利润总额（亏损总额以“－”号填列）|12,149,480.15|11,758,081.49
减：所得税费用|-435,407.31|-4,981,217.90
五、净利润（净亏损以“－”号填列）|12,584,887.46|16,739,299.39
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|15,979,653.97|23,911,429.98
2.终止经营净利润（净亏损以“－”号填列）|-3,394,766.51|-7,172,130.59
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|10,741,879.19|16,484,410.89
2.少数股东损益|1,843,008.27|254,888.50
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
page|76
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|12,584,887.46|16,739,299.39
归属于母公司所有者的综合收益总额|10,741,879.19|16,484,410.89
归属于少数股东的综合收益总额|1,843,008.27|254,888.50
八、每股收益：||
（一）基本每股收益|0.08|0.12
（二）稀释每股收益|0.08|0.12
