page|62
项目|2019 年度|2018 年度
一、营业总收入|2,255,394,058.97|2,121,966,609.34
其中：营业收入|2,255,394,058.97|2,121,966,609.34
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,628,736,416.07|1,576,004,381.42
其中：营业成本|1,068,706,640.63|1,044,908,139.32
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|25,366,749.97|24,704,374.85
销售费用|478,497,528.40|478,129,130.99
管理费用|64,360,823.15|43,296,923.79
研发费用|13,686,809.40|11,356,521.62
page|63
财务费用|-21,882,135.48|-26,390,709.15
其中：利息费用||
利息收入|21,902,733.28|26,417,960.50
加：其他收益|1,987,500.00|6,674,800.00
投资收益（损失以“－”号填列）|-1,850,477.13|-1,523,953.63
其中：对联营企业和合营企业的投资收益|-1,850,477.13|-1,523,953.63
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|12,883.63|
资产减值损失（损失以“-”号填列）|-7,876,316.88|-1,589,621.63
资产处置收益（损失以“-”号填列）|-513,260.38|-471,523.16
三、营业利润（亏损以“－”号填列）|618,417,972.14|549,051,929.50
加：营业外收入|594,560.32|301,056.65
减：营业外支出|771,705.79|125,549.72
四、利润总额（亏损总额以“－”号填列）|618,240,826.67|549,227,436.43
减：所得税费用|152,389,925.96|136,581,688.22
五、净利润（净亏损以“－”号填列）|465,850,900.71|412,645,748.21
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|465,850,900.71|412,645,748.21
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|464,868,495.52|413,057,313.39
2.少数股东损益|982,405.19|-411,565.18
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
page|64
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|465,850,900.71|412,645,748.21
归属于母公司所有者的综合收益总额|464,868,495.52|413,057,313.39
归属于少数股东的综合收益总额|982,405.19|-411,565.18
八、每股收益：||
（一）基本每股收益|0.47|0.42
（二）稀释每股收益|0.47|0.42
