page|108
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|四(1)|63,941,228,944|45,409,221,319
结算备付金|||
拆出资金|||
交易性金融资产|四(2)|274,860,000|
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|四(3)||139,174,809
应收票据|四(4)|39,883,034|89,604,667
应收账款|四(5)|466,730,398|216,919,923
应收款项融资|||
预付款项|四(7)|1,275,952,104|14,634,302,340
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|四(6)|46,504,553,851|45,325,965,291
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|四(8)|231,258,796,872|145,573,050,094
合同资产|||
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|四(9)|23,990,061,487|12,838,875,139
流动资产合计||367,752,066,690|264,227,113,582
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款|||7,896,635
长期股权投资|四(11)|18,888,638,008|18,808,554,483
其他权益工具投资|||
其他非流动金融资产|四(10)|305,139,262|405,739,262
投资性房地产|四(12)|68,221,000,000|40,758,000,000
固定资产|四(13)|1,989,248,687|2,112,269,272
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|四(14)|188,641,781|不适用
无形资产|四(15)|514,436,444|576,454,134
page|109
开发支出|||
商誉|||
长期待摊费用|四(16)|88,706,384|76,408,447
递延所得税资产|四(17)|3,794,955,664|2,958,733,902
其他非流动资产|四(18)|367,247,647|387,247,647
非流动资产合计||94,358,013,877|66,091,303,782
资产总计||462,110,080,567|330,318,417,364
流动负债：|||
短期借款|四(20)|670,000,000|2,270,060,000
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|四(3)||7,850,857
应付票据|四(21)|4,267,825,122|1,680,056,166
应付账款|四(22)|34,775,481,057|24,784,046,878
预收款项|四(24)|561,426,406|331,017,927
合同负债|四(23)|197,667,554,333|118,230,991,718
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|四(25)|1,792,640,303|1,327,227,709
应交税费|四(26)|9,551,036,223|7,195,720,902
其他应付款|四(27)|67,300,479,313|47,922,108,033
其中：应付利息||1,198,250,661|1,209,259,233
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|四(28)|23,739,585,569|10,748,662,120
其他流动负债|四(29)|11,902,533,368|10,997,775,373
流动负债合计||352,228,561,694|225,495,517,683
非流动负债：|||
保险合同准备金|||
长期借款|四(30)|24,368,777,554|23,669,253,118
应付债券|四(31)|19,104,549,033|26,685,368,327
其中：优先股|||
永续债|||
租赁负债|四(32)|58,281,659|不适用
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债|四(17)|4,414,600,435|3,511,404,149
其他非流动负债|||
非流动负债合计||47,946,208,681|53,866,025,594
page|110
负债合计||400,174,770,375|279,361,543,277
所有者权益（或股东权益）：|||
实收资本（或股本）|一、四(33)(a)|2,256,724,186|2,256,724,186
其他权益工具|四(33)(b)||1,000,000,000
其中：优先股|||
永续债|||1,000,000,000
资本公积|四(33)(c)|2,678,346,728|2,638,858,173
减：库存股|四(33)(d)|299,919,263|211,821,363
其他综合收益|四(34)|116,389,114|350,106,515
专项储备|||
盈余公积|四(35)|1,047,590,934|509,322,437
一般风险准备|||
未分配利润|四(36)|32,628,277,970|23,950,109,205
归属于母公司所有者权益（或股东权益）合计||38,427,409,669|30,493,299,153
少数股东权益||23,507,900,523|20,463,574,934
所有者权益（或股东权益）合计||61,935,310,192|50,956,874,087
负债和所有者权益（或股东权益）总计||462,110,080,567|330,318,417,364
