page|116
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
资产：|||
货币资金|七、1|5,803,516,343.09|3,308,938,635.52
其中：客户资金存款|七、1|2,138,865,186.30|1,410,347,081.23
结算备付金|七、2|1,612,769,820.70|690,906,820.74
其中：客户备付金|七、2|758,502,872.56|617,327,346.50
贵金属|||
拆出资金|||
融出资金|七、5|1,150,385,159.78|969,086,921.57
衍生金融资产|七、6||762,540.00
存出保证金|七、7|307,230,287.09|209,417,696.36
应收款项|七、8|83,293,243.00|72,651,985.99
应收款项融资|||
买入返售金融资产|七、10|6,664,213,745.77|5,430,177,308.01
持有待售资产|||
金融投资：||26,898,526,366.18|16,078,081,656.47
以公允价值计量且其变动计入当期损益的金融资产|||14,551,391,133.86
交易性金融资产|七、12|26,006,428,038.75|
债权投资|七、13|113,402,080.08|
可供出售金融资产|||1,476,690,522.61
其他债权投资|七、14|748,682,263.27|
其他权益工具投资|七、15|30,013,984.08|
持有至到期投资|||50,000,000.00
长期股权投资|七、16|79,852,770.41|
投资性房地产|七、17|32,018,866.32|34,734,686.88
固定资产|七、18|103,011,764.34|87,210,295.62
在建工程|七、19|16,667,104.84|22,317,137.26
使用权资产|||
无形资产|七、21|104,224,740.91|74,100,171.29
商誉|||
递延所得税资产|七、23|47,966,223.80|46,437,504.15
其他资产|七、24|2,557,274,658.69|359,606,032.86
资产总计||45,460,951,094.92|27,384,429,392.72
负债：|||
短期借款|七、28|100,137,500.00|1,593,000,000.00
page|117
应付短期融资款|七、29|8,382,759,627.24|
拆入资金|七、30|396,750.00|
交易性金融负债|七、31|424,979,938.62|
以公允价值计量且其变动计入当期损益的金融负债|||162,315,055.77
衍生金融负债|七、6|340,363.00|
卖出回购金融资产款|七、32|10,644,293,337.82|6,159,179,770.00
代理买卖证券款|七、33|3,003,775,770.72|2,133,332,377.70
代理承销证券款|||
应付职工薪酬|七、35|595,034,534.87|469,427,237.45
应交税费|七、36|148,546,274.36|58,912,263.55
应付款项|七、37|30,345,140.78|15,462,490.96
持有待售负债|||
预计负债|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
递延收益|七、43|4,306,474.82|4,306,474.82
递延所得税负债|七、23|129,864,193.24|42,637,109.45
其他负债|七、44|8,376,383,248.55|5,207,871,927.60
负债合计||31,841,163,154.02|15,846,444,707.30
所有者权益（或股东权益）：|||
实收资本（或股本）|七、45|3,633,405,396.00|3,269,405,396.03
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、47|5,532,313,510.63|4,674,356,284.65
减：库存股|||
其他综合收益|七、49|3,046,961.27|-1,909,210.64
盈余公积|七、50|698,268,827.41|618,777,606.99
一般风险准备|七、51|1,305,985,452.66|1,135,853,146.43
未分配利润|七、52|2,204,930,165.35|1,609,612,988.18
归属于母公司所有者权益（或股东权益）合计||13,377,950,313.32|11,306,096,211.64
少数股东权益||241,837,627.58|231,888,473.78
所有者权益（或股东权益）合计||13,619,787,940.90|11,537,984,685.42
负债和所有者权益（或股东权益）总计||45,460,951,094.92|27,384,429,392.72
