page|183
2019 年 12 月 31 日|||
(除另有注明外，金额单位均为人民币百万元)|||
||本集团|
||2019 年|2018 年
|附注七|12 月 31 日|12 月 31 日
资产|||
现金及存放中央银行款项|1|2,699,895|2,805,107
存放同业及其他金融机构款项|||
|2|235,742|109,728
贵金属||30,063|21,268
拆出资金|3|523,183|552,013
衍生金融资产|4|24,944|36,944
买入返售金融资产|5|708,551|371,001
发放贷款和垫款|6|12,819,610|11,461,542
金融投资|7||
以公允价值计量且其变动计入|||
损益的金融资产||801,361|643,245
以摊余成本计量的债权投资||4,946,741|4,503,698
以公允价值计量且其变动计入|||
其他综合收益的其他债权和|||
其他权益工具投资||1,674,828|1,738,132
长期股权投资|8|6,672|4,005
固定资产|9|152,484|152,452
无形资产|10|23,118|23,575
商誉||1,381|1,381
递延所得税资产|11|120,952|113,293
其他资产|12|108,763|72,087
资产总计||24,878,288|22,609,471
page|184
2019 年 12 月 31 日|||
(除另有注明外，金额单位均为人民币百万元)|||
||本集团|
||2019 年|2018 年
|附注七|12 月 31 日|12 月 31 日
负债|||
向中央银行借款|14|608,536|561,195
同业及其他金融机构存放款项|15|1,503,909|1,124,322
拆入资金|16|325,363|325,541
以公允价值计量且其变动计入损益|||
的金融负债|17|330,627|286,303
衍生金融负债|4|29,548|34,554
卖出回购金融资产款|18|53,197|157,101
吸收存款|19|18,542,861|17,346,290
应付职工薪酬|20|50,471|45,285
应交税费|21|67,827|56,816
预计负债|22|30,558|25,883
已发行债务证券|23|1,108,212|780,673
递延所得税负债|11|520|139
其他负债|24|266,897|190,582
负债合计||22,918,526|20,934,684
股东权益|||
普通股股本|25|349,983|349,983
其他权益工具|26|199,886|79,899
其中：优先股||79,899|79,899
永续债||119,987|-
资本公积|27|173,556|173,556
其他综合收益|28|31,903|20,465
盈余公积|29|174,910|154,257
一般风险准备|30|277,016|239,190
未分配利润|31|741,101|652,944
归属于母公司股东权益合计||1,948,355|1,670,294
少数股东权益||11,407|4,493
股东权益合计||1,959,762|1,674,787
|||-
负债和股东权益总计||24,878,288|22,609,471
