page|87
项目|2019 年度|2018 年度
一、营业总收入|1,461,940,624.48|1,383,859,337.97
其中：营业收入|1,461,940,624.48|1,383,859,337.97
利息收入||
page|88
已赚保费||
手续费及佣金收入||
二、营业总成本|1,322,481,299.59|1,315,195,951.93
其中：营业成本|634,032,297.74|586,501,330.23
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|25,108,634.74|27,998,043.53
销售费用|491,163,649.85|527,673,496.98
管理费用|92,486,686.08|83,572,834.33
研发费用|62,430,234.73|56,020,108.97
财务费用|17,259,796.45|33,430,137.89
其中：利息费用|22,312,169.64|36,916,694.67
利息收入|5,211,073.00|6,872,994.68
加：其他收益|4,522,918.09|5,655,411.71
投资收益（损失以“－”号填列）|12,606.99|153,090.76
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-55,766,350.22|
资产减值损失（损失以“-”号填列）|-13,688,044.79|-30,409,628.41
page|89
资产处置收益（损失以“-”号填列）|-499,779.20|3,727,237.84
三、营业利润（亏损以“－”号填列）|74,040,675.76|47,789,497.94
加：营业外收入|970,860.43|724,010.09
减：营业外支出|7,603,083.62|4,955,698.47
四、利润总额（亏损总额以“－”号填列）|67,408,452.57|43,557,809.56
减：所得税费用|22,247,884.28|6,096,632.96
五、净利润（净亏损以“－”号填列）|45,160,568.29|37,461,176.60
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|45,160,568.29|37,461,176.60
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|42,066,213.53|38,794,837.59
2.少数股东损益|3,094,354.76|-1,333,660.99
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
page|90
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|45,160,568.29|37,461,176.60
归属于母公司所有者的综合收益总额|42,066,213.53|38,794,837.59
归属于少数股东的综合收益总额|3,094,354.76|-1,333,660.99
八、每股收益：||
（一）基本每股收益|0.036|0.0337
（二）稀释每股收益|0.036|0.0337
