page|64
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|480,952,249.79|463,781,449.43
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据|106,895,182.51|420,677,087.99
应收账款|1,456,409,479.88|1,236,217,997.05
应收款项融资|523,162,640.11|
预付款项|48,997,053.04|23,946,745.22
应收保费||
应收分保账款||
应收分保合同准备金||
page|65
其他应收款|14,864,671.47|11,384,529.94
其中：应收利息|4,136,283.30|1,377,462.09
应收股利||
买入返售金融资产||
存货|863,358,200.85|717,781,412.35
合同资产||
持有待售资产||
一年内到期的非流动资产|380,000,000.00|
其他流动资产|260,904,291.68|15,232,545.88
流动资产合计|4,135,543,769.33|2,889,021,767.86
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|298,904,687.16|261,263,941.29
其他权益工具投资||
其他非流动金融资产||
投资性房地产|18,501,346.19|18,775,767.70
固定资产|1,750,337,432.45|1,535,719,817.45
在建工程|229,153,424.15|112,618,062.71
生产性生物资产||
油气资产||
使用权资产||
无形资产|303,643,682.54|285,903,474.19
开发支出||
商誉||
长期待摊费用||
递延所得税资产|2,305,512.70|1,085,211.98
其他非流动资产|53,376,666.81|463,081,411.57
非流动资产合计|2,656,222,752.00|2,678,447,686.89
资产总计|6,791,766,521.33|5,567,469,454.75
page|66
流动负债：||
短期借款|974,954,311.29|645,999,702.63
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据||
应付账款|300,656,401.58|213,089,639.45
预收款项|137,143,225.38|51,486,920.01
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|259,699,548.69|193,968,301.95
应交税费|49,276,142.46|48,249,006.37
其他应付款|16,695,508.47|12,673,895.61
其中：应付利息|1,300,236.15|924,805.56
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债||2,070,212.00
流动负债合计|1,738,425,137.87|1,167,537,678.02
非流动负债：||
保险合同准备金||
长期借款|18,106,834.44|71,289.35
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
page|67
长期应付职工薪酬||
预计负债|32,405,119.45|21,810,410.38
递延收益|16,292,652.15|13,022,651.95
递延所得税负债|29,407,826.39|17,705,025.91
其他非流动负债||
非流动负债合计|96,212,432.43|52,609,377.59
负债合计|1,834,637,570.30|1,220,147,055.61
所有者权益：||
股本|800,000,000.00|800,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|508,637,853.37|506,344,085.03
减：库存股||
其他综合收益|43,779,013.40|1,540,929.55
专项储备|6,508,882.11|5,340,499.48
盈余公积|400,000,000.00|400,000,000.00
一般风险准备||
未分配利润|3,192,251,637.16|2,629,487,793.74
归属于母公司所有者权益合计|4,951,177,386.04|4,342,713,307.80
少数股东权益|5,951,564.99|4,609,091.34
所有者权益合计|4,957,128,951.03|4,347,322,399.14
负债和所有者权益总计|6,791,766,521.33|5,567,469,454.75
