page|84
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|七、1|1,063,302,319.89|135,308,765.46
结算备付金|||
拆出资金|||
交易性金融资产|||
以公 允价值计量且 其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|||
应收账款|七、5|106,886,403.30|52,035,052.81
应收款项融资|||
预付款项|七、7|1,767,760.84|1,788,101.22
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|613,049.40|5,342,099.01
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|58,313,251.31|59,789,692.6
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、12|4,210,796.65|13,670,806.73
流动资产合计||1,235,093,581.39|267,934,517.83
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资|||
其他非流动金融资产|||
投资性房地产|||
固定资产|七、20|21,292,251.57|22,103,970.32
在建工程|七、21|1,265,277.38|
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、25|24,349,459.28|25,032,602.06
page|85
开发支出|||
商誉|||
长期待摊费用|七、28|611,682.85|871,710.44
递延所得税资产|七、29|5,556,543.51|6,591,770.75
其他非流动资产|七、30|2,334,932.40|968,743.40
非流动资产合计||55,410,146.99|55,568,796.97
资产总计||1,290,503,728.38|323,503,314.80
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公 允价值计量且 其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、35|53,332,112.68|32,345,693.98
预收款项|七、36|1,319,650.03|3,938,560.45
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、37|15,499,364.54|14,175,430.38
应交税费|七、38|4,320,187.67|12,203,237.49
其他应付款|七、39|15,417,973.95|21,304,980.82
其中：应付利息|||
应付股利|七、39||18,443,000
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||
流动负债合计||89,889,288.87|83,967,903.12
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|七、46|16,011,945.65|16,011,945.65
长期应付职工薪酬|||
预计负债|七、48|3,035,827.15|2,344,180.45
递延收益|七、49|10,769,027.17|12,007,707.98
递延所得税负债|||
其他非流动负债|||
非流动负债合计||29,816,799.97|30,363,834.08
负债合计||119,706,088.84|114,331,737.20
page|86
所有者权益（或股东权益）：|||
实收资本（或股本）|七、51|80,000,000.00|60,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、53|930,959,291.42|31,464,933.10
减：库存股|||
其他综合收益|七、55|-256,861.98|-256,185.87
专项储备|||
盈余公积|七、57|23,481,611.82|15,278,772.90
一般风险准备|||
未分配利润|七、58|136,613,598.28|102,684,057.47
归属 于母公司所有 者权益（或股东权益）合计||1,170,797,639.54|209,171,577.60
少数股东权益|||
所 有 者 权 益 （ 或 股 东 权益）合计||1,170,797,639.54|209,171,577.60
负债和所有者权益（或股东权益）总计||1,290,503,728.38|323,503,314.80
