page|84
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||2,125,217,863.24|1,914,556,917.15
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||107,938,668.20|56,159,371.81
收到其他与经营活动有关的现金|七、51（1）|51,298,788.99|19,230,071.84
经营活动现金流入小计||2,284,455,320.43|1,989,946,360.80
购买商品、接受劳务支付的现金||1,128,922,862.22|1,049,576,673.27
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||405,074,214.62|380,020,917.36
支付的各项税费||296,542,204.17|213,584,976.21
支付其他与经营活动有关的现金|七、51（2）|174,547,060.65|154,920,311.05
经营活动现金流出小计||2,005,086,341.66|1,798,102,877.89
经营活动产生的现金流量净额||279,368,978.77|191,843,482.91
二、投资活动产生的现金流量：|||
收回投资收到的现金||694,957.36|300,000.00
取得投资收益收到的现金||196,000.00|8,391,896.85
处置固定资产、无形资产和其他长期资产收回的现金净额||73,259.00|0.00
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||964,216.36|8,691,896.85
购建固定资产、无形资产和其他长期资产支付的现金||279,044,075.41|220,273,904.27
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额||0.00|434,763,248.00
支付其他与投资活动有关的现金|||
投资活动现金流出小计||279,044,075.41|655,037,152.27
投资活动产生的现金流量净额||-278,079,859.05|-646,345,255.42
page|85
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||581,377,400.00|787,169,600.00
收到其他与筹资活动有关的现金|七、51（3）|45,251,185.46|70,000,000.00
筹资活动现金流入小计||626,628,585.46|857,169,600.00
偿还债务支付的现金||504,817,352.12|414,360,736.11
分配股利、利润或偿付利息支付的现金||115,122,258.88|72,711,446.28
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、51（4）|117,821,701.20|58,000,000.00
筹资活动现金流出小计||737,761,312.20|545,072,182.39
筹资活动产生的现金流量净额||-111,132,726.74|312,097,417.61
四、汇率变动对现金及现金等价物的影响||4,351,557.10|-7,808,526.79
五、现金及现金等价物净增加额||-105,492,049.92|-150,212,881.69
加：期初现金及现金等价物余额||338,825,121.21|489,038,002.90
六、期末现金及现金等价物余额|七、52（4）|233,333,071.29|338,825,121.21
