page|67
项目|2019 年度|2018 年度
一、营业总收入|39,842,820,013.10|40,377,879,404.00
其中：营业收入|39,842,820,013.10|40,377,879,404.00
利息收入|0.00|0.00
page|68
已赚保费|0.00|0.00
手续费及佣金收入|0.00|0.00
二、营业总成本|37,648,341,100.28|38,645,857,534.02
其中：营业成本|35,657,514,440.78|36,801,342,167.02
利息支出|0.00|0.00
手续费及佣金支出|0.00|0.00
退保金|0.00|0.00
赔付支出净额|0.00|0.00
提取保险责任合同准备金净额|0.00|0.00
保单红利支出|0.00|0.00
分保费用|0.00|0.00
税金及附加|155,301,781.17|124,984,311.83
销售费用|1,160,235,390.83|1,057,904,425.46
管理费用|278,898,544.81|287,451,263.75
研发费用|231,317,380.20|189,495,191.68
财务费用|165,073,562.49|184,680,174.28
其中：利息费用|190,651,667.19|208,582,280.08
利息收入|-29,754,910.02|-25,873,951.86
加：其他收益|21,421,498.04|9,763,633.31
投资收益（损失以“－”号填列）|0.00|0.00
其中：对联营企业和合营企业的投资收益|0.00|0.00
以摊余成本计量的金融资产终止确认收益|0.00|0.00
汇兑收益（损失以“-”号填列）|0.00|0.00
净敞口套期收益（损失以“－”号填列）|0.00|0.00
公允价值变动收益（损失以“－”号填列）|0.00|0.00
信用减值损失（损失以“-”号填列）|-134,786,887.82|-164,221,061.56
资产减值损失（损失以“-”号填列）|-52,479,485.73|-105,733,363.37
资产处置收益（损失以“-”号填列）|3,303,580.18|-26,952.33
三、营业利润（亏损以“－”号填列）|2,031,937,617.49|1,471,804,126.03
加：营业外收入|50,745,651.87|101,865,396.80
减：营业外支出|16,209,997.96|144,132.45
page|69
四、利润总额（亏损总额以“－”号填列）|2,066,473,271.40|1,573,525,390.38
减：所得税费用|475,106,722.37|360,283,970.07
五、净利润（净亏损以“－”号填列）|1,591,366,549.03|1,213,241,420.31
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|1,591,366,549.03|1,213,241,420.31
2.终止经营净利润（净亏损以“－”号填列）|0.00|0.00
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|1,223,385,741.48|905,143,314.31
2.少数股东损益|367,980,807.55|308,098,106.00
六、其他综合收益的税后净额|2,014,751.43|-8,875,645.22
归属母公司所有者的其他综合收益的税后净额|2,006,271.98|-6,273,495.68
（一）不能重分类进损益的其他综合收益|-5,000.00|169,000.00
1.重新计量设定受益计划变动额|-5,000.00|169,000.00
2.权益法下不能转损益的其他综合收益|0.00|0.00
3.其他权益工具投资公允价值变动|0.00|0.00
4.企业自身信用风险公允价值变动|0.00|0.00
5.其他|0.00|0.00
（二）将重分类进损益的其他综合收益|2,011,271.98|-6,442,495.68
1.权益法下可转损益的其他综合收益|0.00|0.00
2.其他债权投资公允价值变动|0.00|0.00
3.可供出售金融资产公允价值变动损益|0.00|0.00
4.金融资产重分类计入其他综合收益的金额|0.00|0.00
5.持有至到期投资重分类为可供出售金融资产损益|0.00|0.00
6.其他债权投资信用减值准备|2,011,271.98|-6,442,495.68
7.现金流量套期储备|0.00|0.00
page|70
8.外币财务报表折算差额|0.00|0.00
9.其他|0.00|0.00
归属于少数股东的其他综合收益的税后净额|8,479.45|-2,602,149.54
七、综合收益总额|1,593,381,300.46|1,204,365,775.09
归属于母公司所有者的综合收益总额|1,225,392,013.46|898,869,818.63
归属于少数股东的综合收益总额|367,989,287.00|305,495,956.46
八、每股收益：||
（一）基本每股收益|1.82|1.35
（二）稀释每股收益|1.82|1.35
