page|108
项目|附注|2019 年度|2018 年度
一、营业总收入||4,349,514,734.00|3,766,119,304.82
利息净收入|38|770,797,631.77|580,423,164.74
其中：利息收入||1,352,680,715.66|1,205,344,579.37
利息支出||581,883,083.89|624,921,414.63
手续费及佣金净收入|39|2,329,629,723.52|2,163,692,527.40
其中：经纪业务手续费净收入||1,140,360,748.84|993,039,771.43
投资银行业务手续费净收入||901,273,881.41|721,250,500.79
资产管理业务手续费净收入||96,265,359.51|133,374,679.20
投资收益（损失以“-”号填列）|40|994,000,895.19|845,784,686.32
其中：对联营企业和合营企业的投资收益||-2,291,326.02|-43,255,109.08
以摊余成本计量的金融资产终止确认产生的收益（损失以“-”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
其他收益|41|11,008,213.26|8,321,688.28
公允价值变动收益（损失以“-”号填列）|42|245,401,722.57|168,693,440.74
汇兑收益（损失以“-”号填列）||-1,286,862.65|-2,211,394.53
其他业务收入|43|37,372.29|1,682,239.30
资产处置收益（损失以“－”号填列）|44|-73,961.95|-267,047.43
二、营业总支出||2,697,059,807.33|2,501,907,235.06
税金及附加|45|21,668,700.57|19,717,766.33
业务及管理费|46|2,661,882,213.14|2,298,738,791.86
资产减值损失|47||183,450,676.87
信用减值损失|48|-22,010,037.47|
其他资产减值损失|49|35,518,931.09|
其他业务成本|||
三、营业利润（亏损以“-”号填列）||1,652,454,926.67|1,264,212,069.76
加：营业外收入|50|57,522,113.60|101,610,050.42
减：营业外支出|51|4,276,203.05|5,146,684.72
四、利润总额（亏损总额以“-”号填列）||1,705,700,837.22|1,360,675,435.46
减：所得税费用|52|407,637,958.36|337,553,871.20
page|109
五、净利润（净亏损以“－”号填列）||1,298,062,878.86|1,023,121,564.26
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,298,062,878.86|1,023,121,564.26
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,298,539,701.33|1,010,492,527.44
2.少数股东损益（净亏损以“-”号填列）||-476,822.47|12,629,036.82
六、其他综合收益的税后净额|34|123,213,097.10|-215,323,065.75
归属母公司所有者的其他综合收益的税后净额||123,213,097.05|-215,602,067.53
（一）不能重分类进损益的其他综合收益||87,881,058.28|
1.重新计量设定受益计划变动额|||
2.权益法下不能转损益的其他综合收益|||
3.其他权益工具投资公允价值变动||87,881,058.28|
4.企业自身信用风险公允价值变动|||
（二）将重分类进损益的其他综合收益||35,332,038.77|-215,602,067.53
1.权益法下可转损益的其他综合收益||-144,969.80|-36,735.81
2.其他债权投资公允价值变动||25,747,201.46|
3.可供出售金融资产公允价值变动损益|||-232,470,492.59
4.金融资产重分类计入其他综合收益的金额|||
5.持有至到期投资重分类为可供出售金融资产损益|||
6.其他债权投资信用损失准备||3,427,091.97|
7.现金流量套期储备（现金流量套期损益的有效部分）|||
8.外币财务报表折算差额||6,302,715.14|16,905,160.87
9.其他|||
归属于少数股东的其他综合收益的税后净额||0.05|279,001.78
七、综合收益总额||1,421,275,975.96|807,798,498.51
归属于母公司所有者的综合收益总额||1,421,752,798.38|794,890,459.91
归属于少数股东的综合收益总额||-476,822.42|12,908,038.60
八、每股收益：|||
（一）基本每股收益(元/股)|58|0.429|0.334
（二）稀释每股收益(元/股)|58|0.429|0.334
