page|90
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|860,470,054.61|755,187,179.21
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据|58,795,422.37|55,461,220.18
应收账款|804,301,535.27|792,066,663.43
应收款项融资|38,637,445.58|0.00
预付款项|52,242,225.38|94,551,775.86
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|113,360,124.90|133,108,331.49
其中：应收利息|12,285,225.00|6,355,800.00
应收股利||
买入返售金融资产||
存货|170,471,782.72|199,626,495.30
合同资产||
持有待售资产||
一年内到期的非流动资产||
page|91
其他流动资产|6,627,675.78|16,273,699.64
流动资产合计|2,104,906,266.61|2,046,275,365.11
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产|0.00|168,270,801.00
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|12,588,872.41|1,900,714.24
其他权益工具投资|177,620,801.00|0.00
其他非流动金融资产||
投资性房地产||
固定资产|188,506,990.57|178,601,637.05
在建工程|2,040,956.52|1,098,770.50
生产性生物资产||
油气资产||
使用权资产||
无形资产|174,947,447.38|169,906,738.05
开发支出|12,730,421.76|6,274,136.44
商誉|451,770,086.21|451,770,086.21
长期待摊费用||
递延所得税资产|33,023,310.52|38,188,689.10
其他非流动资产||
非流动资产合计|1,053,228,886.37|1,016,011,572.59
资产总计|3,158,135,152.98|3,062,286,937.70
流动负债：||
短期借款|541,009,141.58|452,796,694.37
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
page|92
应付票据|46,249,979.73|32,260,055.90
应付账款|185,361,158.84|237,284,095.59
预收款项|41,828,012.15|73,305,692.42
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|12,232,518.06|11,593,523.04
应交税费|38,541,764.66|26,513,451.24
其他应付款|23,584,171.52|58,566,993.22
其中：应付利息|1,471,229.59|1,182,446.76
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|56,500,000.00|58,000,000.00
其他流动负债|45,010,607.67|42,323,635.19
流动负债合计|990,317,354.21|992,644,140.97
非流动负债：||
保险合同准备金||
长期借款|20,143,600.00|8,071,800.00
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|24,625,000.00|71,625,000.00
长期应付职工薪酬||
预计负债||
递延收益|29,793,680.42|39,181,400.35
递延所得税负债|3,458,760.50|4,387,380.50
其他非流动负债||
非流动负债合计|78,021,040.92|123,265,580.85
负债合计|1,068,338,395.13|1,115,909,721.82
page|93
所有者权益：||
股本|594,926,386.00|594,926,386.00
其他权益工具||
其中：优先股||
永续债||
资本公积|746,264,671.84|755,323,177.21
减：库存股|15,750,179.55|31,522,509.02
其他综合收益||
专项储备||
盈余公积|63,615,259.09|55,254,691.30
一般风险准备||
未分配利润|700,705,942.52|569,556,449.13
归属于母公司所有者权益合计|2,089,762,079.90|1,943,538,194.62
少数股东权益|34,677.95|2,839,021.26
所有者权益合计|2,089,796,757.85|1,946,377,215.88
负债和所有者权益总计|3,158,135,152.98|3,062,286,937.70
