page|70
项目|附注|2019 年度|2018 年度
一、营业总收入||6,356,379,638.42|5,857,244,753.65
其中：营业收入||6,356,379,638.42|5,857,244,753.65
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||5,782,486,179.41|5,687,397,036.89
其中：营业成本||4,934,326,856.80|4,888,683,801.25
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加||56,171,906.49|52,693,800.58
销售费用||185,044,067.93|189,067,838.63
管理费用||252,017,379.78|195,789,804.88
研发费用||248,340,155.63|217,032,739.96
财务费用||106,585,812.78|144,129,051.59
其中：利息费用||110,927,851.83|131,751,799.04
利息收入||21,739,527.23|10,096,123.96
加：其他收益||71,518,630.47|42,247,513.15
投资收益（损失以“－”号填列）||27,748,195.85|13,758,197.99
其中：对联营企业和合营企业的投资收益|||
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）||2,627,435.21|-12,422,448.63
信用减值损失（损失以“-”号填列）||-127,107,345.08|
资产减值损失（损失以“-”号填列）||-117,326,719.77|-66,267,731.12
资产处置收益（损失以“－”号填列）||43,784.26|7,742,346.34
三、营业利润（亏损以“－”号填列）||431,397,439.95|154,905,594.49
加：营业外收入||11,215,427.92|1,217,914.41
减：营业外支出||9,610,759.58|6,353,861.12
四、利润总额（亏损总额以“－”号填列）||433,002,108.29|149,769,647.78
减：所得税费用||47,982,946.18|19,631,514.16
五、净利润（净亏损以“－”号填列）||385,019,162.11|130,138,133.62
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||385,019,162.11|130,138,133.62
page|71
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||384,981,920.17|130,103,371.53
2.少数股东损益（净亏损以“-”号填列）||37,241.94|34,762.09
六、其他综合收益的税后净额||177,546,207.68|-311,675,002.10
（一）归属母公司所有者的其他综合收益的税后净额||177,546,207.68|-311,675,002.10
1．不能重分类进损益的其他综合收益||177,546,207.68|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||177,546,207.68|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||-311,675,002.10
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-311,675,002.10
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额|||
七、综合收益总额||562,565,369.79|-181,536,868.48
（一）归属于母公司所有者的综合收益总额||562,528,127.85|-181,571,630.57
（二）归属于少数股东的综合收益总额||37,241.94|34,762.09
八、每股收益：|||
（一）基本每股收益(元/股)||0.20|0.07
（二）稀释每股收益(元/股)||0.20|0.07
