page|98
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|703,072,841.99|511,222,608.64
page|99
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还||
收到其他与经营活动有关的现金|14,179,864.36|7,632,473.38
经营活动现金流入小计|717,252,706.35|518,855,082.02
购买商品、接受劳务支付的现金|137,455,909.86|149,082,553.01
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|114,358,659.02|63,864,976.47
支付的各项税费|105,953,231.29|88,996,556.17
支付其他与经营活动有关的现金|84,119,565.02|68,388,865.25
经营活动现金流出小计|441,887,365.19|370,332,950.90
经营活动产生的现金流量净额|275,365,341.16|148,522,131.12
二、投资活动产生的现金流量：||
收回投资收到的现金|2,292,000,000.00|2,105,400,000.00
取得投资收益收到的现金|32,573,443.09|26,029,444.31
处置固定资产、无形资产和其他长期资产收回的现金净额|1,054,941.22|12,747.57
处置子公司及其他营业单位收到的现金净额|2,928,005.29|
page|100
收到其他与投资活动有关的现金|6,754,535.10|6,315,604.69
投资活动现金流入小计|2,335,310,924.70|2,137,757,796.57
购建固定资产、无形资产和其他长期资产支付的现金|57,114,269.18|35,250,221.83
投资支付的现金|2,501,769,030.05|2,239,933,843.32
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|14,032,455.70|2,788,540.91
支付其他与投资活动有关的现金||
投资活动现金流出小计|2,572,915,754.93|2,277,972,606.06
投资活动产生的现金流量净额|-237,604,830.23|-140,214,809.49
三、筹资活动产生的现金流量：||
吸收投资收到的现金|38,404,688.60|22,957,749.01
其中：子公司吸收少数股东投资收到的现金|20,116,408.60|11,494,487.00
取得借款收到的现金|400,000.00|
收到其他与筹资活动有关的现金|3,490,000.00|6,660,000.00
筹资活动现金流入小计|42,294,688.60|29,617,749.01
偿还债务支付的现金|200,000.00|
分配股利、利润或偿付利息支付的现金|33,510,937.62|25,225,774.04
其中：子公司支付给少数股东的股利、利润|1,046,105.08|164,615.54
支付其他与筹资活动有关的现金|6,478,388.93|8,333.00
筹资活动现金流出小计|40,189,326.55|25,234,107.04
筹资活动产生的现金流量净额|2,105,362.05|4,383,641.97
四、汇率变动对现金及现金等价物的影响||
五、现金及现金等价物净增加额|39,865,872.98|12,690,963.60
加：期初现金及现金等价物余额|178,284,163.77|165,593,200.17
六、期末现金及现金等价物余额|218,150,036.75|178,284,163.77
