page|97
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|562,292,739.36|212,791,227.23
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据|265,000.00|338,300.00
应收账款|1,346,184,636.45|543,485,671.68
应收款项融资|67,817,131.22|1,250,200.00
预付款项|34,626,417.11|24,895,909.97
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|29,925,875.89|18,106,656.92
其中：应收利息||
应收股利||
买入返售金融资产||
存货|697,007,951.84|196,300,520.08
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|1,720,468.83|3,332,399.35
流动资产合计|2,739,840,220.70|1,000,500,885.23
非流动资产：||
发放贷款和垫款||
page|98
债权投资||
可供出售金融资产||
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|42,467,550.10|75,264,414.20
其他权益工具投资|35,180,000.00|
其他非流动金融资产||
投资性房地产|3,493,007.87|4,038,325.29
固定资产|131,235,544.46|124,721,516.33
在建工程|858,075.84|
生产性生物资产||
油气资产||
使用权资产||
无形资产|20,905,098.87|18,752,827.12
开发支出|1,366,358.21|3,516,090.51
商誉||
长期待摊费用|3,657,892.87|4,926,156.51
递延所得税资产|24,964,484.37|19,265,880.20
其他非流动资产|14,254,621.47|
非流动资产合计|278,382,634.06|250,485,210.16
资产总计|3,018,222,854.76|1,250,986,095.39
流动负债：||
短期借款||74,900,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|2,937,000.00|31,836,900.80
应付账款|451,577,788.18|236,662,130.88
预收款项|503,285,108.98|35,213,254.64
合同负债||
page|99
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|129,011,640.76|16,463,812.65
应交税费|212,989,048.69|24,724,187.05
其他应付款|66,480,795.44|20,821,525.11
其中：应付利息||
应付股利|33,316.20|32,382.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债||950,000.00
流动负债合计|1,366,281,382.05|441,571,811.13
非流动负债：||
保险合同准备金||
长期借款||45,953,419.05
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|2,726,983.17|2,061,973.60
递延所得税负债||
其他非流动负债||
非流动负债合计|2,726,983.17|48,015,392.65
负债合计|1,369,008,365.22|489,587,203.78
所有者权益：||
股本|109,937,600.00|107,634,800.00
其他权益工具||
其中：优先股||
page|100
永续债||
资本公积|412,846,810.62|360,595,032.49
减：库存股|51,194,653.80|13,709,178.00
其他综合收益||
专项储备||
盈余公积|121,040,266.97|35,105,918.93
一般风险准备||
未分配利润|1,052,471,778.56|268,247,404.34
归属于母公司所有者权益合计|1,645,101,802.35|757,873,977.76
少数股东权益|4,112,687.19|3,524,913.85
所有者权益合计|1,649,214,489.54|761,398,891.61
负债和所有者权益总计|3,018,222,854.76|1,250,986,095.39
