page|83
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|259,963,120.83|258,544,669.01
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|1,315,081.08|1,768,702.74
收到其他与经营活动有关的现金|8,196,998.32|6,980,249.04
经营活动现金流入小计|269,475,200.23|267,293,620.79
购买商品、接受劳务支付的现金|138,864,150.76|178,478,712.07
客户贷款及垫款净增加额||
page|84
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|32,812,272.78|33,483,128.61
支付的各项税费|18,214,207.55|17,694,335.86
支付其他与经营活动有关的现金|9,814,832.35|6,892,133.10
经营活动现金流出小计|199,705,463.44|236,548,309.64
经营活动产生的现金流量净额|69,769,736.79|30,745,311.15
二、投资活动产生的现金流量：||
收回投资收到的现金|190,700,000.00|342,860,000.00
取得投资收益收到的现金|2,072,399.08|4,741,976.52
处置固定资产、无形资产和其他长期资产收回的现金净额|32,540.00|
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金|1,647,168.00|10,240,532.00
投资活动现金流入小计|194,452,107.08|357,842,508.52
购建固定资产、无形资产和其他长期资产支付的现金|75,277,539.72|92,776,988.59
投资支付的现金|146,700,000.00|251,860,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||11,887,700.00
投资活动现金流出小计|221,977,539.72|356,524,688.59
投资活动产生的现金流量净额|-27,525,432.64|1,317,819.93
page|85
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金||
收到其他与筹资活动有关的现金||
筹资活动现金流入小计||
偿还债务支付的现金||
分配股利、利润或偿付利息支付的现金|6,144,000.00|12,800,000.00
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金||
筹资活动现金流出小计|6,144,000.00|12,800,000.00
筹资活动产生的现金流量净额|-6,144,000.00|-12,800,000.00
四、汇率变动对现金及现金等价物的影响|42,159.69|1,828,678.87
五、现金及现金等价物净增加额|36,142,463.84|21,091,809.95
加：期初现金及现金等价物余额|101,054,026.88|79,962,216.93
六、期末现金及现金等价物余额|137,196,490.72|101,054,026.88
