page|110
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|4,043,201,980.80|3,864,467,743.63
结算备付金||
拆出资金||
交易性金融资产|139,645,111.02|
以公允价值计量且其变动计入当期损益的金融资产||1,035,782.83
衍生金融资产||
应收票据|177,518,394.14|1,089,582,342.48
应收账款|3,612,327,272.08|3,087,145,696.55
应收款项融资|161,452,755.62|
预付款项|237,470,225.73|277,365,489.19
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|138,686,040.69|111,791,385.54
其中：应收利息||1,627,679.24
应收股利||
买入返售金融资产||
存货|2,133,449,558.62|1,336,106,139.80
合同资产||
持有待售资产||
一年内到期的非流动资产||625,000,000.00
其他流动资产|5,628,025,090.24|2,545,763,074.14
流动资产合计|16,271,776,428.94|12,938,257,654.16
非流动资产：||
发放贷款和垫款||
page|111
债权投资||
可供出售金融资产||132,824,331.93
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|3,644,426.32|5,716,349.82
其他权益工具投资||
其他非流动金融资产||
投资性房地产|53,261,593.95|55,433,297.93
固定资产|2,046,144,596.43|1,211,442,389.66
在建工程|2,182,744,309.34|360,640,081.96
生产性生物资产||
油气资产||
使用权资产||
无形资产|365,050,751.28|267,278,357.75
开发支出|97,535,118.82|
商誉|751,891,030.00|851,639,798.97
长期待摊费用|24,141,892.22|8,683,540.64
递延所得税资产|35,596,199.45|37,152,375.41
其他非流动资产|153,957,817.49|2,797,382,539.26
非流动资产合计|5,713,967,735.30|5,728,193,063.33
资产总计|21,985,744,164.24|18,666,450,717.49
流动负债：||
短期借款|3,897,293,320.77|4,301,999,880.57
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|1,654,518,507.94|656,539,294.93
应付账款|3,172,438,730.62|1,851,698,509.20
预收款项|304,569,655.59|187,086,724.25
合同负债||
page|112
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|112,251,186.67|105,198,282.14
应交税费|100,210,499.55|24,674,299.84
其他应付款|279,705,290.07|201,573,819.14
其中：应付利息||17,181,610.06
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|1,651,916,666.67|150,000,000.00
其他流动负债||
流动负债合计|11,172,903,857.88|7,478,770,810.07
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|700,213,888.89|2,200,000,000.00
长期应付职工薪酬||
预计负债|3,891,665.12|5,184,435.45
递延收益|101,201,540.62|95,216,422.13
递延所得税负债|234,468,646.25|203,658,549.74
其他非流动负债||
非流动负债合计|1,039,775,740.88|2,504,059,407.32
负债合计|12,212,679,598.76|9,982,830,217.39
所有者权益：||
股本|4,526,940,607.00|4,526,940,607.00
其他权益工具||
其中：优先股||
page|113
永续债||
资本公积|154,221,398.41|169,439,715.67
减：库存股|98,001,256.76|
其他综合收益|58,806,324.49|46,179,841.06
专项储备||
盈余公积|372,310,765.48|369,230,790.72
一般风险准备||
未分配利润|4,737,672,122.19|3,606,026,833.20
归属于母公司所有者权益合计|9,751,949,960.81|8,717,817,787.65
少数股东权益|21,114,604.67|-34,197,287.55
所有者权益合计|9,773,064,565.48|8,683,620,500.10
负债和所有者权益总计|21,985,744,164.24|18,666,450,717.49
