page|77
项目|附注|2019 年度|2018 年度
一、营业总收入||116,599,292,224.93|107,918,803,371.08
其中：营业收入|七、59|116,599,292,224.93|107,918,803,371.08
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||108,933,483,992.39|102,677,108,357.82
其中：营业成本|七、59|96,187,970,914.87|90,870,419,954.66
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、60|1,795,148,317.55|1,550,284,593.23
销售费用|七、61|151,653,909.18|71,034,829.21
管理费用|七、62|1,063,940,221.32|1,204,572,307.09
研发费用|七、63|319,642,714.26|21,003,488.55
page|78
项目|附注|2019 年度|2018 年度
财务费用|七、64|9,415,127,915.21|8,959,793,185.08
其中：利息费用||9,454,253,878.80|8,977,847,814.95
利息收入||115,635,713.16|112,656,320.43
加：其他收益|七、65|391,245,911.70|374,670,085.55
投资收益（损失以“－”号填列）|七、66|3,096,404,415.40|3,578,835,261.80
其中：对联营企业和合营企业的投资收益||1,401,616,754.61|2,052,801,656.08
以摊余成本计量的金融资产终止确认收益||-321,751,493.16|-141,903,827.95
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七、69|-2,862,869,065.78|
资产减值损失（损失以“-”号填列）|七、70|-1,570,702,291.14|-3,682,433,366.28
资产处置收益（损失以“－”号填列）|七、71|295,046,281.90|13,431,138.79
三、营业利润（亏损以“－”号填列）||7,014,933,484.62|5,526,198,133.12
加：营业外收入|七、72|543,678,198.96|246,414,952.87
减：营业外支出|七、73|318,635,771.63|482,451,001.73
四、利润总额（亏损总额以“－”号填列）||7,239,975,911.95|5,290,162,084.26
减：所得税费用|七、74|2,320,840,976.84|2,068,669,795.40
五、净利润（净亏损以“－”号填列）||4,919,134,935.11|3,221,492,288.86
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||4,919,134,935.11|3,221,492,288.86
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以“-”号填列）||1,868,693,329.39|1,612,038,074.85
2.少数股东损益（净亏损以“-”号填列）||3,050,441,605.72|1,609,454,214.01
六、其他综合收益的税后净额||-164,839,991.96|-7,691,832.18
（一）归属母公司所有者的其他综合收益的税后净额||-169,651,772.46|4,987,584.97
1．不能重分类进损益的其他综合收益||-169,651,772.46|-17,133,461.16
（1）重新计量设定受益计划变动额||1,234,009.63|-17,133,461.16
（2）权益法下不能转损益的其他综合收益|||
page|79
项目|附注|2019 年度|2018 年度
（3）其他权益工具投资公允价值变动||-170,885,782.09|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益|||22,121,046.13
（1）权益法下可转损益的其他综合收益|||15,968,301.88
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||6,152,744.25
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额|||
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||4,811,780.50|-12,679,417.15
七、综合收益总额||4,754,294,943.15|3,213,800,456.68
（一）归属于母公司所有者的综合收益总额||1,699,041,556.93|1,617,025,659.82
（二）归属于少数股东的综合收益总额||3,055,253,386.22|1,596,774,796.86
八、每股收益：|||
（一）基本每股收益(元/股)||0.087|0.073
（二）稀释每股收益(元/股)||0.087|0.073
