page|61
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|939,173,422.81|800,333,947.59
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据|1,517,081,347.68|1,238,976,984.58
应收账款|1,531,096,178.20|1,448,864,848.39
应收款项融资|204,689,026.13|
预付款项|70,514,816.89|63,226,296.82
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|12,242,709.68|10,531,909.60
其中：应收利息||
应收股利||
买入返售金融资产||
存货|496,569,112.74|369,648,100.73
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|9,486,480.51|11,669,323.12
流动资产合计|4,780,853,094.64|3,943,251,410.83
非流动资产：||
发放贷款和垫款||
page|62
债权投资||
可供出售金融资产||2,244,772.20
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资||
其他权益工具投资|15,000,000.00|
其他非流动金融资产||
投资性房地产||
固定资产|595,529,878.73|552,365,356.07
在建工程|9,190,399.15|10,290,979.60
生产性生物资产||
油气资产||
使用权资产||
无形资产|107,328,419.22|111,234,297.70
开发支出||
商誉|28,061,144.91|42,641,955.72
长期待摊费用|41,300,627.68|43,544,930.49
递延所得税资产|16,726,906.64|16,134,374.25
其他非流动资产||
非流动资产合计|813,137,376.33|778,456,666.03
资产总计|5,593,990,470.97|4,721,708,076.86
流动负债：||
短期借款||
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|626,510,761.03|460,426,503.43
应付账款|1,050,451,737.91|807,008,848.08
预收款项|26,680,577.25|18,200,957.99
合同负债||
page|63
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|3,778,497.91|39,316,394.88
应交税费|22,274,632.96|22,974,129.24
其他应付款|67,678,988.40|71,587,986.38
其中：应付利息||
应付股利||210,000.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债||
流动负债合计|1,797,375,195.46|1,419,514,820.00
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|44,461,607.55|43,701,378.36
递延所得税负债|207,706.49|212,527.53
其他非流动负债|74,588,907.32|72,254,987.32
非流动负债合计|119,258,221.36|116,168,893.21
负债合计|1,916,633,416.82|1,535,683,713.21
所有者权益：||
股本|429,000,000.00|429,000,000.00
其他权益工具||
其中：优先股||
page|64
永续债||
资本公积|482,212,206.58|482,212,206.58
减：库存股||
其他综合收益||139,731.99
专项储备|56,601,160.44|53,744,520.78
盈余公积|483,113,527.73|422,790,293.07
一般风险准备||
未分配利润|1,580,855,442.03|1,303,155,053.64
归属于母公司所有者权益合计|3,031,782,336.78|2,691,041,806.06
少数股东权益|645,574,717.37|494,982,557.59
所有者权益合计|3,677,357,054.15|3,186,024,363.65
负债和所有者权益总计|5,593,990,470.97|4,721,708,076.86
