page|76
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金||1,871,543,222.92|5,243,233,939.68
结算备付金|||
拆出资金|||
交易性金融资产||3,340,852.40|
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产||4,674,876.04|230,150.00
应收票据||265,242,531.04|259,911,749.45
应收账款||1,561,126,484.27|1,336,797,308.16
应收款项融资|||
预付款项||869,794,684.95|500,928,534.57
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||3,064,713,150.25|3,004,252,129.96
其中：应收利息||522,386.07|17,765,531.07
应收股利||8,400,000.00|
买入返售金融资产|||
存货||1,192,458,987.73|1,386,262,847.33
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||574,372,118.47|371,064,058.29
流动资产合计||9,407,266,908.07|12,102,680,717.44
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||174,307,574.12
其他债权投资|||
持有至到期投资|||
长期应收款||81,096,998.59|41,124,099.42
长期股权投资||2,968,404,918.65|2,630,660,374.42
其他权益工具投资|||
其他非流动金融资产||1,741,000.00|
投资性房地产||453,426,228.73|467,938,101.05
固定资产||3,121,819,330.09|2,832,751,577.50
在建工程||1,012,382,769.63|742,826,166.86
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||2,689,980,718.59|2,729,549,813.27
开发支出||33,278,194.32|39,345,942.65
page|77
商誉||148,212,458.69|150,879,774.28
长期待摊费用||4,078,262.18|4,214,210.18
递延所得税资产||258,703,078.66|217,330,929.77
其他非流动资产||168,653,902.36|405,670,771.26
非流动资产合计||10,941,777,860.49|10,436,599,334.78
资产总计||20,349,044,768.56|22,539,280,052.22
流动负债：|||
短期借款||668,072,156.90|313,814,396.36
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||413,085.00
应付票据||1,191,277,220.65|1,053,792,342.42
应付账款||434,714,250.55|513,511,463.40
预收款项||939,931,225.49|667,743,331.63
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||141,891,896.31|124,857,015.55
应交税费||412,561,424.02|373,148,568.82
其他应付款||1,358,623,899.74|987,220,970.79
其中：应付利息|||125,879,150.22
应付股利||18,424,770.26|4,975,510.88
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||20,625,288.87|3,174,931,736.09
其他流动负债||1,014,189,892.22|1,650,568,900.94
流动负债合计||6,181,887,254.75|8,860,001,811.00
非流动负债：|||
保险合同准备金|||
长期借款||350,720,000.00|193,700,000.00
应付债券||1,500,000,000.00|1,500,000,000.00
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬||117,546,974.98|108,311,011.88
预计负债||32,226,957.00|
递延收益||78,944,407.75|96,344,408.48
递延所得税负债||475,650,855.18|352,400,469.66
其他非流动负债|||
非流动负债合计||2,555,089,194.91|2,250,755,890.02
负债合计||8,736,976,449.66|11,110,757,701.02
所有者权益（或股东权益）：|||
page|78
实收资本（或股本）||2,199,801,033.00|2,199,801,033.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||3,675,338,109.51|3,611,017,994.42
减：库存股||171,496,885.50|
其他综合收益||22,693,679.09|13,394,260.74
专项储备|||
盈余公积||1,931,869,156.03|1,855,890,370.63
一般风险准备|||
未分配利润||3,536,079,101.22|3,363,765,373.26
归属于母公司所有者权益（或股东权益）合计||11,194,284,193.35|11,043,869,032.05
少数股东权益||417,784,125.55|384,653,319.15
所有者权益（或股东权益）合计||11,612,068,318.90|11,428,522,351.20
负债和所有者权益（或股东权益）总计||20,349,044,768.56|22,539,280,052.22
