page|87
项目|2019 年度|2018 年度
一、营业总收入|1,172,553,104.30|1,247,889,350.41
其中：营业收入|1,172,553,104.30|1,247,889,350.41
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|1,138,478,220.31|1,284,029,869.37
其中：营业成本|997,236,089.88|1,115,398,370.52
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|12,033,728.59|14,289,707.23
销售费用|25,920,284.32|45,565,996.08
管理费用|102,186,345.13|105,926,943.99
研发费用|4,232,959.37|4,414,748.04
财务费用|-3,131,186.98|-1,565,896.49
其中：利息费用|126,909,412.28|120,362,438.31
利息收入|140,343,871.25|124,917,339.68
加：其他收益|4,769,419.84|5,258,846.69
投资收益（损失以“－”号填列）|128,858.42|-1,127,333.31
其中：对联营企业和合营企业的投资收益|128,858.42|-1,127,333.31
page|88
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|5,773,039.41|
资产减值损失（损失以“-”号填列）|-3,251,207.58|-750,071,381.90
资产处置收益（损失以“-”号填列）|2,038,343.70|134,400.88
三、营业利润（亏损以“－”号填列）|43,533,337.78|-781,945,986.60
加：营业外收入|11,766,708.73|273,299.71
减：营业外支出|3,708,900.93|1,158,277.77
四、利润总额（亏损总额以“－”号填列）|51,591,145.58|-782,830,964.66
减：所得税费用|14,229,998.92|5,221,947.13
五、净利润（净亏损以“－”号填列）|37,361,146.66|-788,052,911.79
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|37,361,146.66|-788,052,911.79
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|33,808,621.89|-789,840,556.16
2.少数股东损益|3,552,524.77|1,787,644.37
六、其他综合收益的税后净额|305,449.79|
归属母公司所有者的其他综合收益的税后净额|224,762.15|
（一）不能重分类进损益的其他综合收益|224,762.15|
1.重新计量设定受益计划变动额||
page|89
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|224,762.15|
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额|80,687.64|
七、综合收益总额|37,666,596.45|-788,052,911.79
归属于母公司所有者的综合收益总额|34,033,384.04|-789,840,556.16
归属于少数股东的综合收益总额|3,633,212.41|1,787,644.37
八、每股收益：||
（一）基本每股收益|0.04|-0.9
（二）稀释每股收益|0.04|-0.9
