page|85
项目|2019 年度|2018 年度
一、营业总收入|2,475,616,071.21|2,166,229,147.53
其中：营业收入|2,475,616,071.21|2,166,229,147.53
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|2,161,140,446.97|1,838,261,027.34
其中：营业成本|1,023,878,118.15|983,340,069.95
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|6,154,723.30|5,103,682.99
销售费用|931,079,866.38|689,294,886.28
管理费用|131,072,283.18|114,582,907.20
研发费用|51,175,558.61|36,418,624.17
财务费用|17,779,897.35|9,520,856.75
其中：利息费用|27,447,518.57|15,357,447.42
利息收入|10,427,414.70|6,579,020.08
加：其他收益|7,234,015.44|6,044,984.53
投资收益（损失以“－”号填列）|175,409.10|876,021.95
其中：对联营企业和合营企业的投资收益|-2,071,233.87|-744,052.39
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）|908,146.37|-7,625,851.80
page|86
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-9,783,533.81|
资产减值损失（损失以“-”号填列）|-1,730,390.83|-16,018,991.44
资产处置收益（损失以“-”号填列）||
三、营业利润（亏损以“－”号填列）|311,279,270.51|311,244,283.43
加：营业外收入|704,869.11|756,581.12
减：营业外支出|564,308.11|1,604,540.93
四、利润总额（亏损总额以“－”号填列）|311,419,831.51|310,396,323.62
减：所得税费用|24,991,405.18|21,392,362.83
五、净利润（净亏损以“－”号填列）|286,428,426.33|289,003,960.79
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|286,428,426.33|289,003,960.79
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|305,042,137.26|271,746,593.72
2.少数股东损益|-18,613,710.93|17,257,367.07
六、其他综合收益的税后净额|48,805,863.30|27,771,562.63
归属母公司所有者的其他综合收益的税后净额|48,200,612.60|26,434,072.81
（一）不能重分类进损益的其他综合收益|39,379,257.43|
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|39,379,257.43|
page|87
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|8,821,355.17|26,434,072.81
1.权益法下可转损益的其他综合收益|42,477.25|-7,968.84
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|8,778,877.92|26,442,041.65
9.其他||
归属于少数股东的其他综合收益的税后净额|605,250.70|1,337,489.82
七、综合收益总额|335,234,289.63|316,775,523.42
归属于母公司所有者的综合收益总额|353,242,749.86|298,180,666.53
归属于少数股东的综合收益总额|-18,008,460.23|18,594,856.89
八、每股收益：||
（一）基本每股收益|0.7921|0.6923
（二）稀释每股收益|0.7921|0.6923
