page|105
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|6,017,103,963.45|6,325,058,014.00
结算备付金||
拆出资金||
交易性金融资产|200,000,000.00|
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据||3,573,599,234.23
应收账款|144,560,741.11|30,102,370.51
page|106
应收款项融资|5,259,652,640.47|
预付款项|1,002,960,084.15|736,518,000.36
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|30,352,229.22|24,023,667.83
其中：应收利息||
应收股利||
买入返售金融资产||
存货|3,500,065,006.57|2,501,578,478.39
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|175,985,512.54|3,240,710,106.46
流动资产合计|16,330,680,177.51|16,431,589,871.78
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||60,359,515.32
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|276,161,089.90|260,131,439.38
其他权益工具投资|60,359,515.32|
其他非流动金融资产||
投资性房地产|99,679,512.29|34,362,408.73
固定资产|10,332,880,400.20|9,715,413,759.08
在建工程|421,493,911.14|636,274,342.99
生产性生物资产||
油气资产||
使用权资产||
无形资产|1,438,416,512.93|584,250,725.89
开发支出||
商誉||
page|107
长期待摊费用|6,522,295.03|12,936,079.84
递延所得税资产|145,256,875.78|141,736,191.24
其他非流动资产|657,550,998.40|340,813,962.32
非流动资产合计|13,438,321,110.99|11,786,278,424.79
资产总计|29,769,001,288.50|28,217,868,296.57
流动负债：||
短期借款|1,910,620,000.00|1,930,300,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|4,142,657,080.53|1,371,100,501.07
应付账款|2,151,526,716.34|2,248,557,257.69
预收款项|1,085,495,852.39|1,070,006,850.82
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|188,290,394.62|168,037,142.58
应交税费|402,592,230.30|2,069,300,996.81
其他应付款|202,004,418.36|153,015,163.55
其中：应付利息|2,576,411.76|14,069,428.01
应付股利|16,800,000.00|
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|29,424,580.70|253,143,357.10
其他流动负债||
流动负债合计|10,112,611,273.24|9,263,461,269.62
非流动负债：||
保险合同准备金||
page|108
长期借款|300,000,000.00|
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|15,005,478.22|44,430,058.93
长期应付职工薪酬|394,586,661.62|393,551,195.52
预计负债||
递延收益|94,656,429.67|36,992,781.85
递延所得税负债||
其他非流动负债|56,799,619.62|67,671,161.22
非流动负债合计|861,048,189.13|542,645,197.52
负债合计|10,973,659,462.37|9,806,106,467.14
所有者权益：||
股本|2,451,576,238.00|1,634,384,159.00
其他权益工具||
其中：优先股||
永续债||
资本公积|5,043,744,939.97|5,860,937,018.97
减：库存股||
其他综合收益|-213,956,393.27|-83,459,467.91
专项储备|20,553,212.75|15,576,608.78
盈余公积|1,241,571,815.74|897,483,118.65
一般风险准备||
未分配利润|10,184,758,935.28|10,004,377,432.11
归属于母公司所有者权益合计|18,728,248,748.47|18,329,298,869.60
少数股东权益|67,093,077.66|82,462,959.83
所有者权益合计|18,795,341,826.13|18,411,761,829.43
负债和所有者权益总计|29,769,001,288.50|28,217,868,296.57
