page|82
项目|2019 年度|2018 年度
一、营业总收入||4,664,060,882.85  4,569,537,728.89
其中：营业收入||4,664,060,882.85  4,569,537,728.89
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本||3,524,322,543.50  3,450,599,589.30
其中：营业成本||2,498,335,774.36  2,432,258,786.76
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|39,090,330.16|47,176,048.90
销售费用|619,757,576.25|625,143,323.84
管理费用|239,582,738.60|216,171,280.67
研发费用|161,200,024.28|145,185,123.03
page|83
财务费用|-33,643,900.15|-15,334,973.90
其中：利息费用|61,719.58|52,860.32
利息收入|36,306,904.88|15,592,351.17
加：其他收益|52,485,669.74|44,942,816.15
投资收益（损失以“－”号填列）|9,203,465.20|11,988,154.78
其中：对联营企业和合营企业的投资收益|-3,538,370.34|-5,915,737.33
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-7,925,009.55|
资产减值损失（损失以“-”号填列）||-9,471,964.68
资产处置收益（损失以“-”号填列）|277,767.93|-1,365,927.86
三、营业利润（亏损以“－”号填列）||1,193,780,232.67  1,165,031,217.98
加：营业外收入|4,318,266.48|2,665,770.00
减：营业外支出|2,289,264.24|2,727,830.47
四、利润总额（亏损总额以“－”号填列）||1,195,809,234.91  1,164,969,157.51
减：所得税费用|211,051,107.28|185,827,566.79
五、净利润（净亏损以“－”号填列）|984,758,127.63|979,141,590.72
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|984,758,127.63|979,141,590.72
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|983,249,287.90|978,334,272.75
2.少数股东损益|1,508,839.73|807,317.97
六、其他综合收益的税后净额|-98,411.78|
归属母公司所有者的其他综合收益的税后净额|-98,801.93|
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|-98,801.93|
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
page|84
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|-98,801.93|
9.其他||
归属于少数股东的其他综合收益的税后净额|390.15|
七、综合收益总额|984,659,715.85|979,141,590.72
归属于母公司所有者的综合收益总额|983,150,485.97|978,334,272.75
归属于少数股东的综合收益总额|1,509,229.88|807,317.97
八、每股收益：||
（一）基本每股收益|0.63|0.63
（二）稀释每股收益|0.63|0.63
