page|114
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||507,183,799.51|467,065,248.59
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||11,684,686.94|5,844,134.62
收到其他与经营活动有关的现金|七、76|13,197,899.77|7,133,497.55
经营活动现金流入小计||532,066,386.22|480,042,880.76
购买商品、接受劳务支付的现金||331,808,036.58|283,787,166.05
客户贷款及垫款净增加额|||
page|115
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||72,306,423.12|64,543,137.76
支付的各项税费||22,416,302.34|14,835,821.02
支付其他与经营活动有关的现金|七、76|31,761,884.84|26,798,584.39
经营活动现金流出小计||458,292,646.88|389,964,709.22
经营活动产生的现金流量净额|七、77|73,773,739.34|90,078,171.54
二、投资活动产生的现金流量：|||
收回投资收到的现金|||158,000,000.00
取得投资收益收到的现金|||2,309,488.91
处置固定资产、无形资产和其他长期资产收回的现金净额|||
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|七、76||50,000,000.00
投资活动现金流入小计|||210,309,488.91
购建固定资产、无形资产和其他长期资产支付的现金||2,348,854.79|2,371,933.63
投资支付的现金|||108,000,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七、76|10,000,000.00|50,000,000.00
投资活动现金流出小计||12,348,854.79|160,371,933.63
投资活动产生的现金流量净额|七、77|-12,348,854.79|49,937,555.28
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||930,573,648.30|29,025,046.53
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||930,573,648.30|29,025,046.53
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||22,658,017.65|30,463,521.22
page|116
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|七、76|10,460,804.64|
筹资活动现金流出小计||33,118,822.29|30,463,521.22
筹资活动产生的现金流量净额||897,454,826.01|-1,438,474.69
四、汇率变动对现金及现金等价物的影响||-1,505,614.56|7,187,325.53
五、现金及现金等价物净增加额|七、77|957,374,096.00|145,764,577.66
加：期初现金及现金等价物余额|七、77|268,764,583.82|123,000,006.16
六、期末现金及现金等价物余额|七、77|1,226,138,679.82|268,764,583.82
