page|77
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|551,045,649.34|506,358,498.48
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||1,179,020.33
衍生金融资产||
应收票据|12,639,624.45|117,091,016.76
应收账款|432,403,065.75|616,836,241.57
应收款项融资|177,306,141.41|
预付款项|54,874,241.56|79,310,709.68
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|19,570,880.60|114,551,711.47
其中：应收利息||7,408,335.76
应收股利||
买入返售金融资产||
存货|841,421,186.81|858,714,216.58
合同资产||
持有待售资产||
page|78
一年内到期的非流动资产||
其他流动资产|42,795,891.69|45,639,151.21
流动资产合计|2,132,056,681.61|2,339,680,566.08
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||76,997,825.04
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|78,530,336.02|67,623,865.84
其他权益工具投资|28,461,684.04|
其他非流动金融资产||
投资性房地产||
固定资产|919,219,493.46|1,031,411,654.17
在建工程|11,979,859.10|5,368,837.03
生产性生物资产||
油气资产||
使用权资产||
无形资产|189,878,925.59|182,683,656.65
开发支出||
商誉|15,951,782.15|81,313,196.11
长期待摊费用|14,042,761.44|14,060,597.36
递延所得税资产|96,834,621.00|90,781,301.10
其他非流动资产|5,353,107.59|27,273,876.05
非流动资产合计|1,360,252,570.39|1,577,514,809.35
资产总计|3,492,309,252.00|3,917,195,375.43
流动负债：||
短期借款|677,289,749.51|673,959,185.00
向中央银行借款||
拆入资金||
交易性金融负债|787,769.03|
以公允价值计量且其变动计入当期损益的金融负债||1,755,181.30
page|79
衍生金融负债||
应付票据|299,487,176.73|232,903,384.71
应付账款|617,490,570.93|494,678,027.09
预收款项|300,575,799.47|303,230,428.42
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|33,113,748.66|23,558,549.73
应交税费|9,464,580.13|35,131,230.09
其他应付款|18,320,088.29|33,968,055.75
其中：应付利息||1,945,724.34
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|67,568,520.17|183,403,992.78
其他流动负债||
流动负债合计|2,024,098,002.92|1,982,588,034.87
非流动负债：||
保险合同准备金||
长期借款|30,529,165.18|41,321,480.91
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款|17,357,461.55|41,448,790.44
长期应付职工薪酬||
预计负债||
递延收益|12,390,691.60|16,966,291.60
递延所得税负债|915,817.59|165,225.13
其他非流动负债||
非流动负债合计|61,193,135.92|99,901,788.08
page|80
负债合计|2,085,291,138.84|2,082,489,822.95
所有者权益：||
股本|472,741,642.00|474,375,992.00
其他权益工具||
其中：优先股||
永续债||
资本公积|867,708,472.86|904,887,976.45
减：库存股|8,100,711.26|23,183,073.50
其他综合收益|-45,331,791.92|2,591,056.04
专项储备|19,262,355.51|16,245,219.90
盈余公积|68,069,032.27|68,069,032.27
一般风险准备||
未分配利润|41,056,527.00|370,113,429.45
归属于母公司所有者权益合计|1,415,405,526.46|1,813,099,632.61
少数股东权益|-8,387,413.30|21,605,919.87
所有者权益合计|1,407,018,113.16|1,834,705,552.48
负债和所有者权益总计|3,492,309,252.00|3,917,195,375.43
