page|85
项目|2019 年度|2018 年度
一、营业总收入|924,061,197.65|801,375,318.24
其中：营业收入|924,061,197.65|801,375,318.24
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|870,411,870.36|724,826,445.09
其中：营业成本|300,546,975.39|323,678,993.36
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|11,580,821.50|10,202,740.84
page|86
销售费用|408,588,544.32|304,937,705.76
管理费用|35,728,218.91|29,148,662.03
研发费用|109,800,156.23|57,494,757.39
财务费用|4,167,154.01|-636,414.29
其中：利息费用|4,676,269.91|1,294,161.21
利息收入|734,513.81|2,041,051.67
加：其他收益|14,039,866.50|5,066,082.52
投资收益（损失以“－”号填列）||853,864.02
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-2,774,794.40|
资产减值损失（损失以“-”号填列）|-1,902,063.30|-2,343,850.89
资产处置收益（损失以“-”号填列）|-116,411.77|123,093.32
三、营业利润（亏损以“－”号填列）|62,895,924.32|80,248,062.12
加：营业外收入|828,665.59|628,860.96
减：营业外支出|4,826,622.10|1,471,580.40
四、利润总额（亏损总额以“－”号填列）|58,897,967.81|79,405,342.68
减：所得税费用|3,832,114.12|7,420,322.17
五、净利润（净亏损以“－”号填列）|55,065,853.69|71,985,020.51
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|55,065,853.69|71,985,020.51
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
page|87
1.归属于母公司所有者的净利润|55,065,853.69|71,985,020.51
2.少数股东损益||
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|55,065,853.69|71,985,020.51
归属于母公司所有者的综合收益总额|55,065,853.69|71,985,020.51
page|88
归属于少数股东的综合收益总额||
八、每股收益：||
（一）基本每股收益|0.23|0.31
（二）稀释每股收益|0.23|0.31
