page|147
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|七、1|7,229,239,369.35|8,527,607,964.92
结算备付金|||
拆出资金|||
交易性金融资产|七、2|233,385,470.05|236,256,219.87
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|七、3|31,751,504.22|-
应收票据|||
应收账款|七、5|1,805,663,937.18|1,687,918,584.76
应收款项融资|七、6|41,040,000.00|55,000,000.00
预付款项|七、8|340,717,638.07|319,437,303.71
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、9|710,012,095.26|1,931,724,519.36
其中：应收利息|七、9|31,717,766.99|12,469,450.17
应收股利|七、9|31,000,000.00|-
买入返售金融资产|||
存货|七、10|330,978,528.99|251,352,502.91
合同资产|七、7|1,039,368,953.49|807,109,773.17
持有待售资产|||
一年内到期的非流动资产|七、12|555,066,245.64|319,250,999.36
其他流动资产|七、13|1,637,221,709.44|1,582,934,842.98
流动资产合计||13,954,445,451.69|15,718,592,711.04
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款|七、16|800,494,682.51|1,795,159,925.01
长期股权投资|七、17|3,654,279,035.20|3,026,101,128.50
其他权益工具投资|七、18|3,999,157,825.44|3,302,748,467.57
其他非流动金融资产|七、19|368,774,540.60|324,850,000.00
投资性房地产|七、20|85,107,000,000.00|78,533,000,000.00
固定资产|七、21|897,496,154.61|192,418,042.50
在建工程|七、22|2,329,221,258.37|84,866,598.69
生产性生物资产|||
油气资产|||
使用权资产|七、25|3,087,184,216.82|-
无形资产|七、29|449,262,332.89|460,830,931.51
page|148
开发支出|七、26|34,245,602.45|-
商誉|七、27|97,597,047.85|16,592,357.41
长期待摊费用|七、28|489,797,913.40|400,731,940.53
递延所得税资产|七、30|1,174,578,160.89|822,269,149.42
其他非流动资产|七、31|5,850,884,335.94|6,182,556,566.38
非流动资产合计||108,339,973,106.97|95,142,125,107.52
资产总计||122,294,418,558.66|110,860,717,818.56
流动负债：|||
短期借款|七、32|3,387,894,541.95|5,166,655,101.70
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、36|1,476,370,855.07|970,116,980.34
预收款项|七、38|1,159,059,013.47|1,249,019,601.25
合同负债|七、37|2,221,835,457.96|2,601,978,507.73
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、39|830,362,911.55|913,986,023.52
应交税费|七、40|739,393,813.25|607,676,739.98
其他应付款|七、41|7,799,973,358.09|8,496,897,574.07
其中：应付利息|||
应付股利|七、41|48,000,000.00|16,556,410.95
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|七、43|9,804,740,633.43|4,145,791,830.22
其他流动负债|七、44|348,314,909.66|1,161,684,557.80
流动负债合计||27,767,945,494.43|25,313,806,916.61
非流动负债：|||
保险合同准备金|||
长期借款|七、45|15,919,626,315.76|14,306,362,773.00
应付债券|七、46|6,592,440,970.73|7,156,394,519.96
其中：优先股|||
永续债|||
租赁负债|七、47|3,321,817,733.91|-
长期应付款|七、48|634,392,235.62|1,385,921,007.85
长期应付职工薪酬|||
预计负债|||
递延收益|七、53|225,902,560.47|212,456,044.43
递延所得税负债|七、30|11,989,277,103.64|11,008,662,811.23
其他非流动负债|七、51|6,858,165,749.37|6,181,288,065.26
非流动负债合计||45,541,622,669.50|40,251,085,221.73
page|149
负债合计||73,309,568,163.93|65,564,892,138.34
所有者权益（或股东权益）：|||
实收资本（或股本）|七、52|3,550,000,000.00|3,550,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、55|4,239,976,571.04|4,490,018,895.43
减：库存股|||
其他综合收益|七、57|1,483,127,041.17|1,227,776,839.27
专项储备|||
盈余公积|七、59|1,954,818,567.23|1,816,847,121.56
一般风险准备|||
未分配利润|七、60|34,486,715,762.57|30,629,417,859.13
归属于母公司所有者权益（或股东权益）合计||45,714,637,942.01|41,714,060,715.39
少数股东权益||3,270,212,452.72|3,581,764,964.83
所有者权益（或股东权益）合计||48,984,850,394.73|45,295,825,680.22
负债和所有者权益（或股东权益）总计||122,294,418,558.66|110,860,717,818.56
