page|115
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|3,695,916,560.85|1,554,175,427.27
结算备付金||
page|116
拆出资金||
交易性金融资产|2,497,155.50|
以公允价值计量且其变动计入当期损益的金融资产||26,832,890.00
衍生金融资产||
应收票据|60,912,998.32|84,693,761.90
应收账款|9,967,459,594.57|7,923,143,655.96
应收款项融资|1,229,467,819.92|
预付款项|68,375,590.70|32,350,934.71
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|948,797,520.98|192,453,955.41
其中：应收利息|98,070.00|61,849.26
应收股利||
买入返售金融资产||
存货|7,269,271,502.38|8,940,899,810.83
合同资产||
持有待售资产||
一年内到期的非流动资产||1,633,287.34
其他流动资产|643,209,408.46|1,213,456,547.63
流动资产合计|23,885,908,151.68|19,969,640,271.05
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||516,771,810.53
其他债权投资|6,976,200.00|
持有至到期投资||
长期应收款|25,721,336.57|
长期股权投资|1,749,201,454.00|56,065,649.53
其他权益工具投资|329,576,836.04|
其他非流动金融资产||
投资性房地产||
固定资产|11,063,410,155.68|12,265,096,441.42
在建工程|666,353,561.54|2,725,466,198.34
page|117
生产性生物资产||
油气资产||
使用权资产||
无形资产|1,892,417,423.27|1,447,765,488.90
开发支出|214,448,018.29|149,960,637.54
商誉|122,270,674.27|122,270,674.27
长期待摊费用|111,377,154.93|77,823,604.11
递延所得税资产|366,560,198.78|312,891,568.86
其他非流动资产|125,303,841.53|319,357,564.23
非流动资产合计|16,673,616,854.90|17,993,469,637.73
资产总计|40,559,525,006.58|37,963,109,908.78
流动负债：||
短期借款|7,013,374,091.29|7,111,457,782.87
向中央银行借款||
拆入资金||
交易性金融负债|2,627,471.46|
以公允价值计量且其变动计入当期损益的金融负债||22,630,750.00
衍生金融负债||
应付票据|1,236,161,454.95|1,463,032,969.88
应付账款|10,260,172,902.17|9,389,173,069.26
预收款项|120,232,091.82|32,374,126.08
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|440,567,985.02|343,546,693.37
应交税费|123,432,755.51|199,308,953.36
其他应付款|1,295,666,523.07|307,507,118.85
其中：应付利息|37,227,364.18|91,139,207.49
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
page|118
一年内到期的非流动负债|4,976,159,810.80|2,009,904,533.94
其他流动负债|123,696,209.40|998,972,222.22
流动负债合计|25,592,091,295.49|21,877,908,219.83
非流动负债：||
保险合同准备金||
长期借款|2,221,837,744.05|4,651,796,923.35
应付债券||1,261,390,334.72
其中：优先股||
永续债||
租赁负债||
长期应付款|1,520,110,506.37|1,279,882,166.67
长期应付职工薪酬||
预计负债|20,158,504.60|19,599,431.88
递延收益|57,364,345.10|38,422,386.26
递延所得税负债|167,994,271.40|128,640,577.51
其他非流动负债|2,133,189.81|3,618,070.72
非流动负债合计|3,989,598,561.33|7,383,349,891.11
负债合计|29,581,689,856.82|29,261,258,110.94
所有者权益：||
股本|2,694,739,325.00|2,712,867,125.00
其他权益工具||
其中：优先股||
永续债||
资本公积|3,562,828,313.15|3,163,056,179.18
减：库存股|50,001,736.84|153,958,196.84
其他综合收益|1,082,506.06|138,729,125.37
专项储备||
盈余公积|250,602,635.97|90,474,357.30
一般风险准备||
未分配利润|2,999,538,796.85|2,638,740,361.18
归属于母公司所有者权益合计|9,458,789,840.19|8,589,908,951.19
少数股东权益|1,519,045,309.57|111,942,846.65
所有者权益合计|10,977,835,149.76|8,701,851,797.84
负债和所有者权益总计|40,559,525,006.58|37,963,109,908.78
