page|73
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,217,132,930.10|4,677,681,428.02
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
page|74
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||16,602,352.84|5,411,231.84
收到其他与经营活动有关的现金|七.76|90,112,260.77|93,462,977.70
经营活动现金流入小计||4,323,847,543.71|4,776,555,637.56
购买商品、接受劳务支付的现金||3,007,009,928.31|3,276,861,325.06
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||583,708,051.79|565,748,187.00
支付的各项税费||155,456,307.24|190,566,798.65
支付其他与经营活动有关的现金|七.76|550,555,202.51|556,998,677.13
经营活动现金流出小计||4,296,729,489.85|4,590,174,987.84
经营活动产生的现金流量净额||27,118,053.86|186,380,649.72
二、投资活动产生的现金流量：|||
收回投资收到的现金||75,407,620.00|27,578.94
取得投资收益收到的现金||112,432,531.20|53,078,452.24
处置固定资产、无形资产和其他长期资产收回的现金净额||21,966,820.00|6,666,623.00
处置子公司及其他营业单位收到的现金净额||-10,407,840.55|
收到其他与投资活动有关的现金|七.76|2,253,343,583.78|3,583,078,406.64
投资活动现金流入小计||2,452,742,714.43|3,642,851,060.82
购建固定资产、无形资产和其他长期资产支付的现金||445,706,522.18|217,469,941.30
投资支付的现金||81,191,894.07|4,179,975.83
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|七.76|740,795,288.97|3,287,700,000.00
投资活动现金流出小计||1,267,693,705.22|3,509,349,917.13
投资活动产生的现金流量净额||1,185,049,009.21|133,501,143.69
三、筹资活动产生的现金流量：|||
吸收投资收到的现金||1,769,200.00|182,230,000.00
其中：子公司吸收少数股东投资收到的现金||1,769,200.00|182,230,000.00
取得借款收到的现金||129,390,000.00|118,664,348.22
收到其他与筹资活动有关的现金|七.76||7,000,000.00
page|75
筹资活动现金流入小计||131,159,200.00|307,894,348.22
偿还债务支付的现金||1,323,526,941.20|88,899,150.00
分配股利、利润或偿付利息支付的现金||193,005,619.79|188,001,669.43
其中：子公司支付给少数股东的股利、利润||5,362,287.24|
支付其他与筹资活动有关的现金|七.76||7,000,000.00
筹资活动现金流出小计||1,516,532,560.99|283,900,819.43
筹资活动产生的现金流量净额||-1,385,373,360.99|23,993,528.79
四、汇率变动对现金及现金等价物的影响||1,922,768.31|1,434,021.16
五、现金及现金等价物净增加额||-171,283,529.61|345,309,343.36
加：期初现金及现金等价物余额||840,816,325.23|495,506,981.87
六、期末现金及现金等价物余额||669,532,795.62|840,816,325.23
