page|50
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|(七)1|2,480,002,990|4,067,655,588
以公 允价值计量且 其变动计入当期损益的金融资产|(七)2||950,484
衍生金融资产|(七)2|30,727,126|
应收账款|(七)3|1,598,355,143|1,644,097,922
预付款项|(七)4|476,568,092|489,868,533
其他应收款|(七)5|102,449,292|191,019,050
存货|(七)6|2,306,975,111|2,032,663,787
持有待售资产|(七)7|18,148,150|
其他流动资产|(七)8|192,284,806|155,732,206
流动资产合计||7,205,510,710|8,581,987,570
非流动资产：|||
可供出售金融资产|||2,455,494
长期应收款|(七)9||950,000
长期股权投资|(七)10|75,203,324|73,562,748
其他权益工具投资|(七)11|2,466,703|
固定资产|(七)12|7,590,967,529|5,932,506,947
在建工程|(七)13|669,061,668|1,221,771,437
生产性生物资产|(七)14|827,864,881|1,012,546,244
无形资产|(七)15|369,937,729|377,049,125
商誉|(七)16|330,236,841|252,993,532
长期待摊费用|(七)17|11,676,710|9,202,614
递延所得税资产|(七)18|439,768,085|462,771,921
其他非流动资产|(七)19|114,412,625|5,961,789
非流动资产合计||10,431,596,095|9,351,771,851
资产总计||17,637,106,805|17,933,759,421
流动负债：|||
短期借款|(七)20|1,493,958,158|3,809,856,335
以公 允价值计量且 其变动计入当期损益的金融负债|(七)21||97,003,623
衍生金融负债|(七)21|28,312,398|
应付账款|(七)22|2,514,817,536|1,950,828,319
预收款项|(七)23|1,012,944,395|913,128,019
应付职工薪酬|(七)24|386,882,175|334,629,323
应交税费|(七)25|369,870,064|324,872,406
其他应付款|(七)26|2,423,373,308|2,348,917,399
一年内到期的非流动负债|(七)27|614,099|1,142,040
流动负债合计||8,230,772,133|9,780,377,464
非流动负债：|||
长期借款|(七)28|617,455,993|900,086,863
应付债券|(七)29|830,577,669|
page|51
长期应付款|(七)30|41,205,182|41,251,039
递延收益|(七)31|311,673,110|324,611,984
递延所得税负债|(七)18|188,481,672|102,619,119
非流动负债合计||1,989,393,626|1,368,569,005
负债合计||10,220,165,759|11,148,946,469
所有者权益（或股东权益）：|||
实收资本（或股本）|(七)32|1,224,487,509|1,224,487,509
资本公积|(七)33|1,689,640,307|1,689,095,256
减：库存股|(七)34|193,200|193,200
其他综合收益|(七)35|-163,502,571|-168,001,210
盈余公积|(七)36|612,243,755|589,096,200
未分配利润|(七)37|2,355,262,555|2,002,451,850
归属 于母公司所有 者权益（或股东权益）合计||5,717,938,355|5,336,936,405
少数股东权益||1,699,002,691|1,447,876,547
所 有 者 权 益 （ 或 股 东 权益）合计||7,416,941,046|6,784,812,952
负债和所有者权益（或股东权益）总计||17,637,106,805|17,933,759,421
