page|44
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金||370,403,734.43|358,168,460.70
结算备付金|||
拆出资金|||
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|||236,409,834.97
应收账款||337,530,321.07|328,425,669.82
应收款项融资||190,849,264.24|
预付款项||349,391,876.20|104,396,859.14
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||14,334,877.83|18,925,752.00
其中：应收利息|||
应收股利||4,559,825.12|
买入返售金融资产|||
存货||616,560,323.30|405,481,953.17
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|||26,212,968.04
流动资产合计||1,879,070,397.07|1,478,021,497.84
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||7,750,000.00
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资||69,674,503.62|67,693,711.01
其他权益工具投资||7,750,000.00|
其他非流动金融资产|||
投资性房地产|||
固定资产||264,542,985.95|277,069,894.20
在建工程||5,612,082.92|10,685,913.35
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||87,023,953.68|90,500,109.69
开发支出|||
商誉|||
长期待摊费用|||
递延所得税资产||112,801,780.46|120,476,633.60
其他非流动资产||6,574,808.55|
page|45
非流动资产合计||553,980,115.18|574,176,261.85
资产总计||2,433,050,512.25|2,052,197,759.69
流动负债：|||
短期借款||92,700,380.40|300,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据||241,288,084.90|198,852,469.84
应付账款||217,445,397.21|170,883,616.26
预收款项||324,211,478.47|48,217,567.91
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||14,402,357.34|12,648,994.39
应交税费||2,352,308.64|387,640.03
其他应付款||44,305,461.75|60,541,268.07
其中：应付利息||232,806.94|348,333.34
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||
流动负债合计||936,705,468.71|791,531,556.50
非流动负债：|||
保险合同准备金|||
长期借款||200,000,000.00|
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款||44,422,945.81|44,422,945.81
长期应付职工薪酬|||
预计负债||36,312,955.45|31,634,981.80
递延收益||35,454,775.48|32,310,984.91
递延所得税负债|||
其他非流动负债|||
非流动负债合计||316,190,676.74|108,368,912.52
负债合计||1,252,896,145.45|899,900,469.02
所有者权益（或股东权益）：|||
实收资本（或股本）||170,000,000.00|170,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
page|46
资本公积||403,931,070.93|403,931,070.93
减：库存股|||
其他综合收益|||
专项储备||15,051,255.06|14,156,368.26
盈余公积||420,619,704.91|401,821,048.11
一般风险准备|||
未分配利润||170,552,335.90|162,388,803.37
归属于母公司所有者权益（或股东权益）合计||1,180,154,366.80|1,152,297,290.67
少数股东权益|||
所有者权益（或股东权益）合计||1,180,154,366.80|1,152,297,290.67
负债和所有者权益（或股东权益）总计||2,433,050,512.25|2,052,197,759.69
