page|63
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|七、1|232,297,659.28|114,219,173.04
结算备付金|||
拆出资金|||
交易性金融资产|七、2||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|七、4|4,940,000.00|7,808,176.06
应收账款|七、5|165,021,461.88|161,023,265.02
应收款项融资|七、6|6,711,957.82|
预付款项|七、7|7,041,389.46|8,398,215.65
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|3,625,579.69|8,842,545.28
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|七、9|38,908,319.48|42,797,100.24
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、12|3,936,510.42|185,059,576.90
流动资产合计||462,482,878.03|528,148,052.19
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
持有至到期投资|||
长期应收款|七、15|3,538,951.14|
长期股权投资|七、16|69,563,315.87|28,758,439.92
其他权益工具投资|七、17||
page|64
其他非流动金融资产|||
投资性房地产|七、19|55,756,749.22|
固定资产|七、20|97,730,450.82|166,906,153.39
在建工程|七、21||740,477.33
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产|七、25|30,980,448.09|32,925,305.12
开发支出|||
商誉|||
长期待摊费用|七、28|8,083,601.55|2,469,677.51
递延所得税资产|七、29|1,399,613.44|1,461,748.48
其他非流动资产|七、30|20,511,500.00|1,971,800.00
非流动资产合计||287,564,630.13|235,233,601.75
资产总计||750,047,508.16|763,381,653.94
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|七、34|7,861,364.42|3,085,165.90
应付账款|七、35|49,058,170.23|63,008,415.82
预收款项|七、36|222,725.36|4,489,178.95
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、37|3,024,092.84|3,592,939.66
应交税费|七、38|4,932,386.07|1,116,188.53
其他应付款|七、39|35,640,118.54|50,525,425.31
其中：应付利息|||
应付股利||598,991.05|598,991.05
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
page|65
其他流动负债|七、42|3,700,000.00|
流动负债合计||104,438,857.46|125,817,314.17
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债|||
其他非流动负债|||
非流动负债合计|||
负债合计||104,438,857.46|125,817,314.17
所有者权益（或股东权益）：|||
实收资本（或股本）|七、51|464,401,185.00|464,401,185.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、53|587,270,873.85|586,891,392.55
减：库存股|||
其他综合收益|七、55|791,891.49|
专项储备|||
盈余公积|七、57|33,994,377.93|33,994,377.93
一般风险准备|||
未分配利润|七、58|-440,849,677.57|-447,722,615.71
归属于母公司所有者权益（或股东权益）合计||645,608,650.70|637,564,339.77
少数股东权益|||
所有者权益（或股东权益）合计||645,608,650.70|637,564,339.77
负债和所有者权益（或股东权益）总计||750,047,508.16|763,381,653.94
