page|83
项目|2019 年度|2018 年度
一、营业总收入|2,551,437,384.89|2,187,196,557.48
其中：营业收入|2,551,437,384.89|2,187,196,557.48
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|2,291,873,913.76|1,931,000,213.76
其中：营业成本|1,769,863,583.39|1,476,953,551.93
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|23,746,198.47|26,647,280.65
销售费用|210,708,633.89|163,666,292.02
管理费用|129,477,219.00|118,662,889.12
研发费用|115,321,538.27|114,847,719.90
财务费用|42,756,740.74|30,222,480.14
其中：利息费用|40,260,754.23|28,402,430.88
利息收入|732,244.56|1,334,709.09
page|84
加：其他收益|66,785,929.96|30,837,501.60
投资收益（损失以“－”号填列）|13,399,104.13|14,409,119.03
其中：对联营企业和合营企业的投资收益|7,695,469.41|4,722,198.60
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|171,741.12|
信用减值损失（损失以“-”号填列）|7,541,973.75|
资产减值损失（损失以“-”号填列）|-4,133,921.05|-43,065,313.76
资产处置收益（损失以“-”号填列）|245,965.95|40,969.95
三、营业利润（亏损以“－”号填列）|343,574,264.99|258,418,620.54
加：营业外收入|39,615,228.04|3,692,932.55
减：营业外支出|1,559,363.83|460,266.03
四、利润总额（亏损总额以“－”号填列）|381,630,129.20|261,651,287.06
减：所得税费用|49,114,797.67|26,642,947.45
五、净利润（净亏损以“－”号填列）|332,515,331.53|235,008,339.61
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|332,515,331.53|235,008,339.61
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|331,698,794.49|234,817,565.20
2.少数股东损益|816,537.04|190,774.41
六、其他综合收益的税后净额|-12,164,938.02|
归属母公司所有者的其他综合收益的税后净额|-12,164,938.02|
（一）不能重分类进损益的其他综合收益|-12,164,938.02|
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动|-12,164,938.02|
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
page|85
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|320,350,393.51|235,008,339.61
归属于母公司所有者的综合收益总额|319,533,856.47|234,817,565.20
归属于少数股东的综合收益总额|816,537.04|190,774.41
八、每股收益：||
（一）基本每股收益|0.88|0.62
（二）稀释每股收益|0.88|0.62
