page|92
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|354,748,789.65|526,634,420.80
结算备付金||
拆出资金||
交易性金融资产|3,622,553.43|
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
page|93
应收票据|32,963,077.31|102,585,507.67
应收账款|532,756,137.94|523,358,285.34
应收款项融资|24,846,076.33|
预付款项|80,125,864.71|83,088,759.95
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|69,749,946.66|49,656,891.22
其中：应收利息||
应收股利||
买入返售金融资产||
存货|559,946,923.95|458,470,285.71
合同资产||
持有待售资产||
一年内到期的非流动资产|10,972,130.88|16,315,555.88
其他流动资产|10,139,549.57|11,330,928.51
流动资产合计|1,679,871,050.43|1,771,440,635.08
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||4,000,000.00
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|25,061,822.79|24,904,963.12
其他权益工具投资|4,000,000.00|
其他非流动金融资产||
投资性房地产||
固定资产|305,015,162.78|332,315,061.04
在建工程|8,895,720.30|6,450,984.75
生产性生物资产||
油气资产||
使用权资产||
无形资产|93,317,202.68|75,133,894.81
page|94
开发支出|41,867,753.29|27,625,683.35
商誉|145,552,321.33|168,195,364.11
长期待摊费用|15,654,828.45|19,344,668.99
递延所得税资产|48,740,211.81|44,910,723.61
其他非流动资产||
非流动资产合计|688,105,023.43|702,881,343.78
资产总计|2,367,976,073.86|2,474,321,978.86
流动负债：||
短期借款|480,848,894.68|446,167,600.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|52,901,534.17|80,270,908.46
应付账款|266,873,796.17|234,328,100.71
预收款项|57,679,598.37|45,140,996.50
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|16,833,585.83|17,071,238.39
应交税费|13,915,124.70|24,379,548.87
其他应付款|55,404,475.25|69,445,176.80
其中：应付利息|742,553.11|935,622.03
应付股利|2,015,652.05|8,000,000.05
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|5,457,903.59|31,857,922.81
其他流动负债||
流动负债合计|949,914,912.76|948,661,492.54
page|95
非流动负债：||
保险合同准备金||
长期借款|30,000,000.00|35,457,903.59
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|61,653,365.83|86,019,826.60
递延所得税负债|8,739,859.22|9,605,936.39
其他非流动负债||
非流动负债合计|100,393,225.05|131,083,666.58
负债合计|1,050,308,137.81|1,079,745,159.12
所有者权益：||
股本|172,765,551.00|172,765,551.00
其他权益工具||
其中：优先股||
永续债||
资本公积|750,351,238.36|764,631,775.28
减：库存股||
其他综合收益||
专项储备||
盈余公积|32,593,793.03|30,976,054.49
一般风险准备||
未分配利润|200,868,456.75|190,612,169.52
归属于母公司所有者权益合计|1,156,579,039.14|1,158,985,550.29
少数股东权益|161,088,896.91|235,591,269.45
所有者权益合计|1,317,667,936.05|1,394,576,819.74
负债和所有者权益总计|2,367,976,073.86|2,474,321,978.86
