page|76
项目|2019 年度|2018 年度
一、营业总收入|289,441,370.15|181,681,232.11
其中：营业收入|289,441,370.15|181,681,232.11
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|260,355,067.81|195,620,458.91
其中：营业成本|204,868,183.14|119,240,979.30
page|77
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|1,386,530.13|705,160.98
销售费用|18,255,639.00|17,164,425.72
管理费用|31,448,696.73|50,513,764.91
研发费用|7,305,221.86|7,141,575.73
财务费用|-2,909,203.05|854,552.27
其中：利息费用|4,594.12|1,157,700.51
利息收入|3,061,179.27|1,326,649.81
加：其他收益|3,997,593.59|743,206.39
投资收益（损失以“－”号填列）|-1,376,790.69|-13,732,100.15
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）|240,604.57|430,500.00
信用减值损失（损失以“-”号填列）|-181,512.96|
资产减值损失（损失以“-”号填列）||-17,124,090.91
资产处置收益（损失以“-”号填列）|-10,802.72|-33,968.72
三、营业利润（亏损以“－”号填列）|31,755,394.13|-43,655,680.19
加：营业外收入|1,096.31|70,490.19
page|78
减：营业外支出|87,632.57|1,111,753.39
四、利润总额（亏损总额以“－”号填列）|31,668,857.87|-44,696,943.39
减：所得税费用|12,550,892.60|-2,474,249.85
五、净利润（净亏损以“－”号填列）|19,117,965.27|-42,222,693.54
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|19,117,965.27|-35,747,219.80
2.终止经营净利润（净亏损以“－”号填列）||-6,475,473.74
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|8,374,345.42|-49,067,835.56
2.少数股东损益|10,743,619.85|6,845,142.02
六、其他综合收益的税后净额||
归属母公司所有者的其他综合收益的税后净额||
（一）不能重分类进损益的其他综合收益||
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
3.其他权益工具投资公允价值变动||
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益||
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
page|79
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额||
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|19,117,965.27|-42,222,693.54
归属于母公司所有者的综合收益总额|8,374,345.42|-49,067,835.56
归属于少数股东的综合收益总额|10,743,619.85|6,845,142.02
八、每股收益：||
（一）基本每股收益|0.03|-0.18
（二）稀释每股收益|0.03|-0.18
