page|68
项目|附注|2019 年度|2018 年度
一、营业总收入||7,776,961,217.28|6,758,312,188.17
其中：营业收入|七、41|7,776,961,217.28|6,758,312,188.17
利息收入|||
已赚保费|||
手续费及佣金收入|||
二、营业总成本||6,061,461,475.11|5,656,392,443.79
其中：营业成本|七、41|5,001,411,518.85|4,538,398,633.50
利息支出|||
手续费及佣金支出|||
退保金|||
赔付支出净额|||
提取保险责任准备金净额|||
保单红利支出|||
分保费用|||
税金及附加|七、42|678,072,084.43|772,004,530.80
销售费用|七、43|190,517,872.52|146,416,364.99
管理费用|七、44|292,299,259.13|254,141,545.13
研发费用|七、45|39,999,753.56|36,823,395.31
财务费用|七、46|-140,839,013.38|-91,392,025.94
其中：利息费用||138,701,778.00|185,175,287.93
利息收入||299,346,436.64|322,967,556.82
加：其他收益|七、47|17,413,345.16|3,728,216.43
投资收益（损失以“－”号填列）|七、48|39,409,632.18|26,355,930.42
其中：对联营企业和合营企业的投资收益||-3,249,591.29|-887,955.20
以摊余成本计量的金融资产终止确认收益|||
汇兑收益（损失以“－”号填列）|||
净敞口套期收益（损失以“-”号填列）|||
公允价值变动收益（损失以“－”号填列）|||
信用减值损失（损失以“-”号填列）|七、49|-36,529,253.17|
资产减值损失（损失以“-”号填列）|七、50|-13,401,907.05|-29,612,561.28
资产处置收益（损失以“－”号填列）|七、51|396,715.88|773,977.91
三、营业利润（亏损以“－”号填列）||1,722,788,275.17|1,103,165,307.86
加：营业外收入|七、52|13,384,710.72|6,574,476.29
减：营业外支出|七、53|13,773,884.58|16,839,806.17
四、利润总额（亏损总额以“－”号填列）||1,722,399,101.31|1,092,899,977.98
减：所得税费用|七、54|440,273,294.85|333,373,867.90
五、净利润（净亏损以“－”号填列）||1,282,125,806.46|759,526,110.08
（一）按经营持续性分类|||
1.持续经营净利润（净亏损以“－”号填列）||1,282,125,806.46|759,526,110.08
2.终止经营净利润（净亏损以“－”号填列）|||
（二）按所有权归属分类|||
1.归属于母公司股东的净利润（净亏损以||781,340,730.12|661,793,684.27
page|69
“-”号填列）|||
2.少数股东损益（净亏损以“-”号填列）||500,785,076.34|97,732,425.81
六、其他综合收益的税后净额|七、55|104,046,627.52|-117,378,999.26
（一）归属母公司所有者的其他综合收益的税后净额||103,979,228.56|-117,174,520.49
1．不能重分类进损益的其他综合收益||104,815,306.52|
（1）重新计量设定受益计划变动额|||
（2）权益法下不能转损益的其他综合收益|||
（3）其他权益工具投资公允价值变动||104,815,306.52|
（4）企业自身信用风险公允价值变动|||
2．将重分类进损益的其他综合收益||-836,077.96|-117,174,520.49
（1）权益法下可转损益的其他综合收益|||
（2）其他债权投资公允价值变动|||
（3）可供出售金融资产公允价值变动损益|||-113,808,137.79
（4）金融资产重分类计入其他综合收益的金额|||
（5）持有至到期投资重分类为可供出售金融资产损益|||
（6）其他债权投资信用减值准备|||
（7）现金流量套期储备（现金流量套期损益的有效部分）|||
（8）外币财务报表折算差额||-836,077.96|-3,366,382.70
（9）其他|||
（二）归属于少数股东的其他综合收益的税后净额||67,398.96|-204,478.77
七、综合收益总额||1,386,172,433.98|642,147,110.82
（一）归属于母公司所有者的综合收益总额||885,319,958.68|544,619,163.78
（二）归属于少数股东的综合收益总额||500,852,475.30|97,527,947.04
八、每股收益：|||
（一）基本每股收益(元/股)||0.76|0.63
（二）稀释每股收益(元/股)||0.76|0.63
