page|77
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|122,306,879.55|99,936,715.40
结算备付金||
拆出资金||
交易性金融资产|25,001,000.00|
以公允价值计量且其变动计入当期损益的金融资产||0.00
衍生金融资产||
应收票据|0.00|
应收账款|108,317,559.81|179,043,859.54
应收款项融资|24,903,926.49|70,318,304.36
预付款项|1,359,314.63|1,504,207.74
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|9,438,103.85|10,169,639.62
其中：应收利息||
应收股利||
买入返售金融资产||
存货|67,507,960.30|83,356,232.93
合同资产||
持有待售资产||
一年内到期的非流动资产||0.00
page|78
其他流动资产|140,700,864.32|308,654,426.73
流动资产合计|499,535,608.95|752,983,386.32
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||
其他债权投资||
持有至到期投资||0.00
长期应收款|199,998,111.89|276,207,907.58
长期股权投资|2,240,210.03|1,777,833.25
其他权益工具投资||
其他非流动金融资产|10,000,000.00|10,000,000.00
投资性房地产|4,720,953.83|51,674,818.78
固定资产|311,139,046.98|326,385,066.15
在建工程|83,471,051.64|47,975,639.48
生产性生物资产||
油气资产||
使用权资产||
无形资产|77,245,513.72|90,826,891.70
开发支出||
商誉||0.00
长期待摊费用|3,825,733.81|4,679,435.11
递延所得税资产|8,825,618.63|15,443,170.49
其他非流动资产|4,286,968.90|15,845,546.59
非流动资产合计|705,753,209.43|840,816,309.13
资产总计|1,205,288,818.38|1,593,799,695.45
流动负债：||
短期借款|257,000,000.00|274,880,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||0.00
衍生金融负债||
应付票据||
应付账款|28,180,748.81|36,789,725.25
预收款项|5,034,031.98|7,274,588.90
合同负债||
page|79
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|2,518,672.75|2,518,076.53
应交税费|9,645,917.31|19,289,093.11
其他应付款|19,512,657.81|393,075,305.97
其中：应付利息|11,867,042.21|17,984,700.52
应付股利|1,799,400.00|1,799,400.00
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|113,650,000.00|6,000,000.00
其他流动负债||0.00
流动负债合计|435,542,028.66|739,826,789.76
非流动负债：||
保险合同准备金||
长期借款|0.00|104,110,000.00
应付债券||0.00
其中：优先股||
永续债||
租赁负债||
长期应付款|28,883,062.78|41,000,000.00
长期应付职工薪酬||
预计负债||0.00
递延收益|41,054,385.89|45,628,614.13
递延所得税负债||0.00
其他非流动负债||
非流动负债合计|69,937,448.67|190,738,614.13
负债合计|505,479,477.33|930,565,403.89
所有者权益：||
股本|439,200,000.00|439,200,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|68,414,355.03|68,414,355.03
减：库存股||0.00
其他综合收益||0.00
page|80
专项储备||
盈余公积|14,575,123.57|12,437,139.70
一般风险准备||
未分配利润|175,212,158.11|140,825,973.58
归属于母公司所有者权益合计|697,401,636.71|660,877,468.31
少数股东权益|2,407,704.34|2,356,823.25
所有者权益合计|699,809,341.05|663,234,291.56
负债和所有者权益总计|1,205,288,818.38|1,593,799,695.45
