page|56
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||539,830,429.45|549,338,700.78
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||6,971,239.34|10,042,168.30
收到其他与经营活动有关的现金||11,224,673.87|18,653,176.27
经营活动现金流入小计||558,026,342.66|578,034,045.35
购买商品、接受劳务支付的现金||249,335,281.01|299,034,891.46
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
page|57
支付保单红利的现金|||
支付给职工及为职工支付的现金||128,068,443.39|124,473,519.06
支付的各项税费||28,080,989.85|28,031,595.60
支付其他与经营活动有关的现金||64,404,271.85|57,291,833.43
经营活动现金流出小计||469,888,986.10|508,831,839.55
经营活动产生的现金流量净额||88,137,356.56|69,202,205.80
二、投资活动产生的现金流量：|||
收回投资收到的现金|||
取得投资收益收到的现金||5,464,052.39|5,618,851.89
处置固定资产、无形资产和其他长期资产收回的现金净额||4,015,434.25|380,238.25
处置子公司及其他营业单位收到的现金净额||279,100.02|
收到其他与投资活动有关的现金||669,415,985.86|1,148,293,450.00
投资活动现金流入小计||679,174,572.52|1,154,292,540.14
购建固定资产、无形资产和其他长期资产支付的现金||56,681,684.67|114,368,945.69
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||735,344,678.00|1,083,636,013.43
投资活动现金流出小计||792,026,362.67|1,198,004,959.12
投资活动产生的现金流量净额||-112,851,790.15|-43,712,418.98
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||225,500,000.00|127,870,000.00
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||225,500,000.00|127,870,000.00
偿还债务支付的现金||128,658,619.96|76,748,708.02
分配股利、利润或偿付利息支付的现金||39,391,437.72|42,093,184.16
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|||
筹资活动现金流出小计||168,050,057.68|118,841,892.18
筹资活动产生的现金流量净额||57,449,942.32|9,028,107.82
四、汇率变动对现金及现金等价||7,723,386.41|4,005,258.33
page|58
物的影响|||
五、现金及现金等价物净增加额||40,458,895.14|38,523,152.97
加：期初现金及现金等价物余额||224,492,315.79|185,969,162.82
六、期末现金及现金等价物余额||264,951,210.93|224,492,315.79
