page|60
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金||341,516,500.67|368,421,100.40
结算备付金|||
拆出资金|||
交易性金融资产||40,531,842.86|
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据||1,355,247.40|1,545,000.00
应收账款||134,954,954.83|108,258,581.62
应收款项融资|||
预付款项||497,981.00|267,800.99
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||4,567,533.77|4,074,904.65
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||45,899,080.95|47,132,789.69
持有待售资产|||
一年内到期的非流动资产||45,774,123.73|57,482,974.76
其他流动资产||8,355,089.65|1,669,625.77
流动资产合计||623,452,354.86|588,852,777.88
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||
其他债权投资|||
page|61
持有至到期投资|||
长期应收款|||
长期股权投资|||
其他权益工具投资||3,000,000.00|
其他非流动金融资产|||
投资性房地产|||
固定资产||6,415,755.91|6,926,889.73
在建工程|||
生产性生物资产|||
油气资产|||
使用权资产|||
无形资产||6,878,155.83|8,934,476.46
开发支出|||
商誉|||
长期待摊费用||420,414.33|112,203.34
递延所得税资产||1,352,605.11|1,527,257.61
其他非流动资产||48,449,619.70|52,713,009.11
非流动资产合计||66,516,550.88|70,213,836.25
资产总计||689,968,905.74|659,066,614.13
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款||68,802,256.74|71,851,386.80
预收款项||14,737,766.79|9,901,393.72
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||13,441,690.05|9,615,382.99
应交税费||6,684,237.18|8,298,721.17
其他应付款||851,766.95|510,208.41
其中：应付利息|||
应付股利||120,335.40|106,416.00
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||54,013,224.76|60,722,369.40
其他流动负债|||
流动负债合计||158,530,942.47|160,899,462.49
非流动负债：|||
保险合同准备金|||
长期借款|||
page|62
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债||1,022,504.00|9,475,653.00
递延收益|||
递延所得税负债||34,776.43|
其他非流动负债||42,777,048.95|55,158,399.82
非流动负债合计||43,834,329.38|64,634,052.82
负债合计||202,365,271.85|225,533,515.31
所有者权益（或股东权益）：|||
实收资本（或股本）||210,609,840.00|150,448,200.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||59,101,688.12|116,086,819.37
减：库存股||1,022,504.00|9,475,653.00
其他综合收益|||
专项储备|||
盈余公积||30,519,617.50|23,311,156.26
一般风险准备|||
未分配利润||190,208,939.25|155,046,489.98
归属于母公司所有者权益（或股东权益）合计||489,417,580.87|435,417,012.61
少数股东权益||-1,813,946.98|-1,883,913.79
所有者权益（或股东权益）合计||487,603,633.89|433,533,098.82
负债和所有者权益（或股东权益）总计||689,968,905.74|659,066,614.13
