page|99
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|1,840,179,027.47|1,289,905,181.35
结算备付金||
拆出资金||
交易性金融资产|300,000,000.00|
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据||
应收账款|1,179,883,411.60|882,506,512.97
应收款项融资||
预付款项|101,987,634.33|105,902,815.56
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|194,654,607.92|154,604,861.89
其中：应收利息|5,434,915.07|7,705,214.18
应收股利|18,735,232.59|
买入返售金融资产||
存货|374,213,207.11|359,048,818.67
合同资产||
持有待售资产||
page|100
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
一年内到期的非流动资产||
其他流动资产|36,157,486.08|434,205,507.21
流动资产合计|4,027,075,374.51|3,226,173,697.65
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||1,522,184,837.18
其他债权投资|20,058,649.88|
持有至到期投资||
长期应收款||
长期股权投资|964,060.65|
其他权益工具投资|37,153,750.00|
其他非流动金融资产|1,696,947,928.28|
投资性房地产||
固定资产|1,764,606,201.97|1,465,284,733.66
在建工程|361,143,314.36|202,848,414.58
生产性生物资产||
油气资产||
使用权资产||
无形资产|555,048,560.76|510,186,915.63
开发支出||2,127,514.64
商誉|2,637,990,713.23|2,061,633,001.87
长期待摊费用|577,500,179.11|501,392,238.76
递延所得税资产|94,981,959.58|52,992,671.91
其他非流动资产|121,278,124.81|81,756,319.16
非流动资产合计|7,867,673,442.63|6,400,406,647.39
资产总计|11,894,748,817.14|9,626,580,345.04
流动负债：||
短期借款|580,000,000.00|280,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债|467,129.79|
应付票据||
应付账款|1,091,675,823.28|942,611,978.67
预收款项|151,452,291.21|92,852,461.06
page|101
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|412,354,682.54|280,675,823.88
应交税费|142,472,390.19|109,787,894.04
其他应付款|190,791,585.49|219,911,418.84
其中：应付利息|3,349,022.44|4,655,901.99
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|309,425,508.97|115,663,095.47
其他流动负债||
流动负债合计|2,878,639,411.47|2,041,502,671.96
非流动负债：||
保险合同准备金||
长期借款|1,635,707,931.74|1,319,982,037.85
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债|91,910,305.30|82,143,099.96
递延收益||
递延所得税负债|74,211,635.19|47,584,570.02
其他非流动负债|191,548,108.50|164,818,444.44
非流动负债合计|1,993,377,980.73|1,614,528,152.27
负债合计|4,872,017,392.20|3,656,030,824.23
所有者权益：||
股本|3,097,811,227.00|2,383,380,148.00
其他权益工具||
其中：优先股||
永续债||
资本公积|561,304,233.60|1,336,692,468.81
page|102
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
减：库存股|62,851,133.95|132,714,198.98
其他综合收益|-26,053,901.76|-17,194,087.42
专项储备||
盈余公积|415,923,095.78|316,787,481.26
一般风险准备||
未分配利润|2,607,908,010.66|1,805,861,948.39
归属于母公司所有者权益合计|6,594,041,531.33|5,692,813,760.06
少数股东权益|428,689,893.61|277,735,760.75
所有者权益合计|7,022,731,424.94|5,970,549,520.81
负债和所有者权益总计|11,894,748,817.14|9,626,580,345.04
