page|87
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|446,794,325.45|359,573,837.88
结算备付金||
拆出资金||
交易性金融资产|264,579.94|
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据||8,869,975.00
应收账款|263,644,350.66|130,408,034.07
应收款项融资|316,272,875.32|
预付款项|87,383,156.72|50,756,224.09
page|88
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|52,874,532.11|6,562,751.95
其中：应收利息||
应收股利|49,722,190.04|
买入返售金融资产||
存货|729,773,573.41|264,969,333.18
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|156,131,320.97|620,750,440.10
流动资产合计|2,053,138,714.58|1,441,890,596.27
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||1,090,000.00
其他债权投资||
持有至到期投资||
长期应收款|6,142,781.51|
长期股权投资|274,129,658.48|160,764,036.54
其他权益工具投资||
其他非流动金融资产|1,090,000.00|
投资性房地产|7,910,831.15|8,343,789.11
固定资产|1,530,008,753.02|760,042,486.30
在建工程|405,208,063.58|60,777,018.06
生产性生物资产||10,080.00
油气资产||
使用权资产||
无形资产|356,601,291.62|156,624,135.08
开发支出||
商誉|33,591,063.96|37,813,658.48
长期待摊费用|247,925.98|
递延所得税资产|10,398,477.85|4,935,640.57
page|89
其他非流动资产|88,818,703.11|103,023,036.69
非流动资产合计|2,714,147,550.26|1,293,423,880.83
资产总计|4,767,286,264.84|2,735,314,477.10
流动负债：||
短期借款|778,900,000.00|520,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|124,870,000.00|
应付账款|419,925,164.40|87,311,746.47
预收款项|309,124,635.56|90,192,803.11
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|120,356,765.49|27,541,669.67
应交税费|5,798,852.90|3,029,661.86
其他应付款|130,836,606.97|50,115,371.68
其中：应付利息|878,692.13|266,810.86
应付股利||7,776,404.56
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债|212,261,144.51|
流动负债合计|2,102,073,169.83|778,191,252.79
非流动负债：||
保险合同准备金||
长期借款|257,527,040.00|44,527,040.00
应付债券||
page|90
其中：优先股||
永续债||
租赁负债||
长期应付款|39,506,132.35|
长期应付职工薪酬||
预计负债|629,115.18|
递延收益|22,275,094.12|18,878,508.50
递延所得税负债|45,140,396.68|12,473,726.00
其他非流动负债|4,797,400.00|4,413,000.00
非流动负债合计|369,875,178.33|80,292,274.50
负债合计|2,471,948,348.16|858,483,527.29
所有者权益：||
股本|286,557,570.00|283,528,220.00
其他权益工具||
其中：优先股||
永续债||
资本公积|1,016,441,842.63|982,810,283.41
减：库存股|43,820,866.60|36,024,600.00
其他综合收益|-121,956.50|-409,325.69
专项储备|3,511,396.18|894,821.30
盈余公积|117,678,450.35|83,260,806.06
一般风险准备||
未分配利润|690,693,473.47|502,441,652.36
归属于母公司所有者权益合计|2,070,939,909.53|1,816,501,857.44
少数股东权益|224,398,007.15|60,329,092.37
所有者权益合计|2,295,337,916.68|1,876,830,949.81
负债和所有者权益总计|4,767,286,264.84|2,735,314,477.10
