page|87
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|1,213,797,046.88|1,845,605,894.03
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金|29,072,487.30|19,476,030.62
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|1,159,746.17|676,831.09
收到其他与经营活动有关的现金|180,539,859.68|53,140,603.15
以公允价值计量且其变动计入当期损益的金融资产净减少额|-427,579,454.74|-103,017,519.62
经营活动现金流入小计|996,989,685.29|1,815,881,839.27
购买商品、接受劳务支付的现金|1,127,547,977.00|1,735,130,661.97
客户贷款及垫款净增加额||
债权投资净增加额|-447,201,165.35|423,047,033.75
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
page|88
支付利息、手续费及佣金的现金|48,676,125.29|34,221,184.07
支付保单红利的现金||
支付给职工以及为职工支付的现金|35,185,246.59|33,198,737.01
支付的各项税费|30,265,174.34|43,720,731.88
支付其他与经营活动有关的现金|138,880,997.82|80,269,866.10
经营活动现金流出小计|933,354,355.69|2,349,588,214.78
经营活动产生的现金流量净额|63,635,329.60|-533,706,375.51
二、投资活动产生的现金流量：||
收回投资收到的现金|2,970,264.00|
取得投资收益收到的现金|368,150.00|2,158,333.00
处置固定资产、无形资产和其他长期资产收回的现金净额|21,262.37|312,733.70
处置子公司及其他营业单位收到的现金净额|4,999,907.86|
收到其他与投资活动有关的现金|19,446,275.43|10,147,945.21
投资活动现金流入小计|27,805,859.66|12,619,011.91
购建固定资产、无形资产和其他长期资产支付的现金|44,420,234.33|64,604,142.56
投资支付的现金|2,970,264.00|5,000,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额|23,874,000.00|122,490,455.83
支付其他与投资活动有关的现金|15,093,562.11|132,202,905.76
投资活动现金流出小计|86,358,060.44|324,297,504.15
投资活动产生的现金流量净额|-58,552,200.78|-311,678,492.24
三、筹资活动产生的现金流量：||
吸收投资收到的现金|70,400,000.00|56,672,114.58
其中：子公司吸收少数股东投资收到的现金|10,000,000.00|56,672,114.58
取得借款收到的现金|206,600,000.00|338,000,000.00
收到其他与筹资活动有关的现金|594,736,222.86|743,972,130.00
筹资活动现金流入小计|871,736,222.86|1,138,644,244.58
偿还债务支付的现金|90,231,874.04|35,725,506.84
分配股利、利润或偿付利息支付的现金|41,071,397.71|19,738,744.80
page|89
其中：子公司支付给少数股东的股利、利润|19,358,613.68|
支付其他与筹资活动有关的现金|811,217,692.76|452,708,389.89
筹资活动现金流出小计|942,520,964.51|508,172,641.53
筹资活动产生的现金流量净额|-70,784,741.65|630,471,603.05
四、汇率变动对现金及现金等价物的影响|1,601,173.69|1,878,588.25
五、现金及现金等价物净增加额|-64,100,439.14|-213,034,676.45
加：期初现金及现金等价物余额|117,259,666.21|330,294,342.66
六、期末现金及现金等价物余额|53,159,227.07|117,259,666.21
