page|94
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|七 1|1,283,606,484.40|811,242,818.58
结算备付金|||
拆出资金|||
交易性金融资产|七 2|22,000,000.00|
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|七 3||
应收票据|七 4||4,559,203.84
应收账款|七 5|144,869,682.89|219,920,769.17
应收款项融资|七 6|4,599,964.32|
预付款项|七 7|3,389,546.71|5,343,933.41
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七 8|37,811,074.89|31,762,248.17
其中：应收利息|||11,458.33
应收股利||18,873,372.06|25,163,100.00
买入返售金融资产|||
存货|七 9|33,772,352.91|35,332,890.11
持有待售资产|七 10||
一年内到期的非流动资产|七 11||
其他流动资产|七 12|15,908,867.26|218,407,941.39
流动资产合计||1,545,957,973.38|1,326,569,804.67
非流动资产：|||
发放贷款和垫款|||
债权投资|七 13||
可供出售金融资产|||8,000,000.00
其他债权投资|七 14||
持有至到期投资|||
长期应收款|七 15|32,932,098.76|
长期股权投资|七 16|206,546,481.10|189,167,868.75
page|95
其他权益工具投资|七 17|17,295,466.80|
其他非流动金融资产|七 18||
投资性房地产|七 19||
固定资产|七 20|2,564,094,830.02|1,913,203,874.25
在建工程|七 21|138,915,053.29|660,163,818.15
生产性生物资产|七 22||
油气资产|七 23||
使用权资产|七 24||
无形资产|七 25|264,484,702.19|154,123,076.27
开发支出|七 26||
商誉|七 27||
长期待摊费用|七 28|15,574,743.01|18,537,655.09
递延所得税资产|七 29|70,492,449.61|63,548,009.09
其他非流动资产|七 30||
非流动资产合计||3,310,335,824.78|3,006,744,301.60
资产总计||4,856,293,798.16|4,333,314,106.27
流动负债：|||
短期借款|七 31||
向中央银行借款|||
拆入资金|||
交易性金融负债|七 32||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|七 33||
应付票据|七 34|1,600,000.00|38,400,000.00
应付账款|七 35|483,365,508.98|467,420,951.40
预收款项|七 36|392,569,316.60|433,957,640.98
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七 37|50,003,717.74|49,338,323.95
应交税费|七 38|41,276,150.98|17,295,375.92
其他应付款|七 39|62,562,074.44|68,969,976.16
其中：应付利息|||366,091.40
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|七 40||
一年内到期的非流动负债|七 41||
其他流动负债|七 42|547,085.00|
流动负债合计||1,031,923,853.74|1,075,382,268.41
非流动负债：|||
保险合同准备金|||
长期借款|七 43|406,000,000.00|
应付债券|七 44||42,147,403.03
其中：优先股|||
永续债|||
page|96
租赁负债|七 45||
长期应付款|七 46||
长期应付职工薪酬|七 47||
预计负债|七 48||
递延收益|七 49|450,082,456.46|415,967,040.28
递延所得税负债||2,323,866.70|910,681.85
其他非流动负债|七 50||
非流动负债合计||858,406,323.16|459,025,125.16
负债合计||1,890,330,176.90|1,534,407,393.57
所有者权益（或股东权益）：|||
实收资本（或股本）|七 51|935,210,292.00|935,206,638.00
其他权益工具|七 52||5,760,239.36
其中：优先股|||
永续债|||
资本公积|七 53|392,281,918.96|392,005,012.47
减：库存股|七 54||
其他综合收益|七 55|6,971,600.10|
专项储备|七 56|43,938,950.42|43,938,950.42
盈余公积|七 57|203,591,659.87|176,826,295.93
一般风险准备|||
未分配利润|七 58|1,327,513,582.78|1,184,890,548.54
归属于母公司所有者权益（或股东权益）合计||2,909,508,004.13|2,738,627,684.72
少数股东权益||56,455,617.13|60,279,027.98
所有者权益（或股东权益）合计||2,965,963,621.26|2,798,906,712.70
负债和所有者权益（或股东权益）总计||4,856,293,798.16|4,333,314,106.27
