page|75
项目|附注七|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,048,954,976.07|3,165,577,158.26
客户存款和同业存放款项净增加额|||
page|76
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还|||
收到其他与经营活动有关的现金|76（1）|56,760,273.93|32,893,464.56
经营活动现金流入小计||4,105,715,250.00|3,198,470,622.82
购买商品、接受劳务支付的现金||824,401,239.60|907,313,593.70
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||340,232,514.78|346,439,046.85
支付的各项税费||1,114,329,671.74|783,936,202.60
支付其他与经营活动有关的现金|76（2）|959,015,786.09|729,689,174.60
经营活动现金流出小计||3,237,979,212.21|2,767,378,017.75
经营活动产生的现金流量净额||867,736,037.79|431,092,605.07
二、投资活动产生的现金流量：|||
收回投资收到的现金||442,000.00|
取得投资收益收到的现金|||
处置固定资产、无形资产和其他长期资产收回的现金净额||765,019.12|46,500.41
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,207,019.12|46,500.41
购建固定资产、无形资产和其他长期资产支付的现金||215,397,405.28|131,815,370.18
投资支付的现金|||
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金|||
page|77
投资活动现金流出小计||215,397,405.28|131,815,370.18
投资活动产生的现金流量净额||-214,190,386.16|-131,768,869.77
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金|||
收到其他与筹资活动有关的现金|76（5）|6,190,632.00|
筹资活动现金流入小计||6,190,632.00|
偿还债务支付的现金|||
分配股利、利润或偿付利息支付的现金||427,385,296.47|303,061,866.11
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|76（6）|14,933,042.87|
筹资活动现金流出小计||442,318,339.34|303,061,866.11
筹资活动产生的现金流量净额||-436,127,707.34|-303,061,866.11
四、汇率变动对现金及现金等价物的影响|||
五、现金及现金等价物净增加额||217,417,944.29|-3,738,130.81
加：期初现金及现金等价物余额||1,025,192,572.41|1,028,930,703.22
六、期末现金及现金等价物余额||1,242,610,516.70|1,025,192,572.41
