page|80
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|12,016,836,631.89|7,189,594,764.85
结算备付金||
拆出资金||
交易性金融资产|1,700,000.00|
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据||
应收账款|461,242,839.73|306,769,937.76
应收款项融资||
预付款项|49,544,212.81|39,107,500.00
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|18,319,124,833.84|15,430,242,903.07
其中：应收利息||
应收股利|9,000,000.00|
买入返售金融资产||
存货|84,493,545,149.42|53,513,659,535.12
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|4,311,852,032.81|4,186,483,392.43
流动资产合计|119,653,845,700.50|80,665,858,033.23
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||2,404,443,937.18
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|2,570,431,010.34|1,531,562,717.57
其他权益工具投资|1,355,304,118.83|
其他非流动金融资产|1,017,639,244.76|
page|81
投资性房地产|2,754,996,851.83|1,601,065,574.97
固定资产|587,979,505.06|221,352,387.89
在建工程|11,380.10|1,611,544.93
生产性生物资产||
油气资产||
使用权资产||
无形资产|151,260,167.31|139,854,126.27
开发支出||
商誉|593,092.34|593,092.34
长期待摊费用|21,514,996.63|22,147,656.24
递延所得税资产|1,511,776,421.27|963,767,643.09
其他非流动资产||
非流动资产合计|9,971,506,788.47|6,886,398,680.48
资产总计|129,625,352,488.97|87,552,256,713.71
流动负债：||
短期借款|601,284,344.77|1,260,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据||
应付账款|3,166,711,980.17|2,618,254,147.72
预收款项|55,595,710,776.92|25,247,144,883.10
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|105,347,888.69|84,687,756.26
应交税费|1,051,520,691.20|1,154,231,779.17
其他应付款|14,460,015,421.09|12,203,711,081.77
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|7,423,532,683.15|2,319,900,000.00
其他流动负债|2,739,692,082.05|2,064,850,875.23
流动负债合计|85,143,815,868.04|46,952,780,523.25
非流动负债：||
保险合同准备金||
page|82
长期借款|15,624,425,554.61|12,948,987,083.62
应付债券|5,880,745,847.16|7,786,249,194.90
其中：优先股||
永续债||
租赁负债||
长期应付款|554,570,402.92|549,845,147.76
长期应付职工薪酬||
预计负债||
递延收益||
递延所得税负债|9,650,073.17|
其他非流动负债||
非流动负债合计|22,069,391,877.86|21,285,081,426.28
负债合计|107,213,207,745.90|68,237,861,949.53
所有者权益：||
股本|3,111,443,890.00|3,111,443,890.00
其他权益工具||
其中：优先股||
永续债||
资本公积|2,198,246,507.41|2,308,691,894.85
减：库存股||
其他综合收益|10,126,758.26|53,361,081.78
专项储备||
盈余公积|1,075,246,212.81|998,257,484.35
一般风险准备||
未分配利润|10,172,305,824.18|8,789,330,104.98
归属于母公司所有者权益合计|16,567,369,192.66|15,261,084,455.96
少数股东权益|5,844,775,550.41|4,053,310,308.22
所有者权益合计|22,412,144,743.07|19,314,394,764.18
负债和所有者权益总计|129,625,352,488.97|87,552,256,713.71
