page|60
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|152,208,334.86|199,313,834.15
结算备付金||
拆出资金||
交易性金融资产|282,843,397.20|
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据|7,163,423.18|6,232,732.32
应收账款|43,904,884.18|90,657,125.89
应收款项融资|8,264,690.40|
预付款项|12,291,312.08|46,525,422.66
应收保费||
page|61
应收分保账款||
应收分保合同准备金||
其他应收款|4,851,348.63|4,430,839.85
其中：应收利息||
应收股利||
买入返售金融资产||
存货|162,200,849.46|166,904,053.97
合同资产||
持有待售资产|68,413,753.57|
一年内到期的非流动资产||
其他流动资产|33,713,115.65|209,305,270.43
流动资产合计|775,855,109.21|723,369,279.27
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||4,000,000.00
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资||
其他权益工具投资||
其他非流动金融资产|7,652,931.03|
投资性房地产|19,045,675.99|20,086,499.11
固定资产|5,289,684.51|9,063,706.90
在建工程||
生产性生物资产||
油气资产||
使用权资产||
无形资产|215,430.35|1,575,610.11
开发支出||
商誉||
长期待摊费用|136,888.89|174,222.21
递延所得税资产|7,462,647.83|7,498,034.49
其他非流动资产||
page|62
非流动资产合计|39,803,258.60|42,398,072.82
资产总计|815,658,367.81|765,767,352.09
流动负债：||
短期借款|2,600,000.00|
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|13,190,940.82|11,311,677.20
应付账款|66,068,250.79|95,415,072.54
预收款项|166,557,286.40|148,780,826.79
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|7,733,741.58|7,423,772.09
应交税费|5,879,058.50|4,770,373.71
其他应付款|1,637,043.93|3,768,283.79
其中：应付利息||
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债|64,961,581.64|
一年内到期的非流动负债||
其他流动负债||
流动负债合计|328,627,903.66|271,470,006.12
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
page|63
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬||
预计负债||
递延收益|1,140,738.44|1,952,819.36
递延所得税负债|816,841.98|
其他非流动负债||
非流动负债合计|1,957,580.42|1,952,819.36
负债合计|330,585,484.08|273,422,825.48
所有者权益：||
股本|335,000,000.00|335,000,000.00
其他权益工具||
其中：优先股||
永续债||
资本公积|82,880,687.43|82,880,687.43
减：库存股||
其他综合收益|1,117,889.00|2,423,728.95
专项储备||
盈余公积|16,176,997.11|16,176,997.11
一般风险准备||
未分配利润|34,057,783.85|42,286,151.57
归属于母公司所有者权益合计|469,233,357.39|478,767,565.06
少数股东权益|15,839,526.34|13,576,961.55
所有者权益合计|485,072,883.73|492,344,526.61
负债和所有者权益总计|815,658,367.81|765,767,352.09
