page|61
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|915,274,616.35|1,070,521,903.97
结算备付金||
拆出资金||
交易性金融资产|60,000,000.00|
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据||
应收账款|189,939,984.16|108,253,270.96
应收款项融资||
预付款项|183,269,430.48|129,920,519.53
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|184,612,358.53|154,781,773.21
其中：应收利息||
应收股利||
买入返售金融资产||
存货|2,949,197,684.41|2,749,357,494.27
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|251,755,054.01|330,812,812.98
流动资产合计|4,734,049,127.94|4,543,647,774.92
非流动资产：||
page|62
发放贷款和垫款|226,258,191.31|281,424,396.91
债权投资||
可供出售金融资产||183,259,305.15
其他债权投资||
持有至到期投资||
长期应收款|19,899,567.80|21,401,892.13
长期股权投资|2,314,000,202.00|2,070,519,172.80
其他权益工具投资|173,320,000.00|
其他非流动金融资产||
投资性房地产|3,384,403.36|
固定资产|3,270,410,407.99|3,367,179,143.25
在建工程|273,844,191.88|202,692,374.28
生产性生物资产||
油气资产||
使用权资产||
无形资产|317,162,188.45|328,607,947.65
开发支出||
商誉|67,167,043.79|109,387,361.04
长期待摊费用|1,800,971,832.79|1,839,459,989.60
递延所得税资产|55,260,732.98|53,008,792.41
其他非流动资产|2,730,473,607.24|2,314,482,085.04
非流动资产合计|11,252,152,369.59|10,771,422,460.26
资产总计|15,986,201,497.53|15,315,070,235.18
流动负债：||
短期借款|1,612,069,137.01|880,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|34,065,000.00|44,567,500.00
应付账款|923,244,953.27|1,003,493,865.97
预收款项|642,199,236.69|672,300,262.27
page|63
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|39,901,381.63|65,999,093.58
应交税费|24,391,202.48|35,229,707.12
其他应付款|758,545,469.32|619,514,575.27
其中：应付利息|40,186,252.84|38,624,037.11
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|1,670,250,636.34|456,300,000.00
其他流动负债|2,116,800.00|1,554,500.00
流动负债合计|5,706,783,816.74|3,778,959,504.21
非流动负债：||
保险合同准备金|54,118,927.26|39,659,683.14
长期借款|923,660,000.00|1,471,860,000.00
应付债券|499,663,128.99|1,198,774,516.57
其中：优先股||
永续债||
租赁负债||
长期应付款|1,179,668,597.23|1,168,753,664.19
长期应付职工薪酬||
预计负债||
递延收益|72,133,782.43|78,023,767.84
递延所得税负债||
其他非流动负债||
非流动负债合计|2,729,244,435.91|3,957,071,631.74
负债合计|8,436,028,252.65|7,736,031,135.95
所有者权益：||
股本|1,394,172,800.00|1,416,605,200.00
其他权益工具||
page|64
其中：优先股||
永续债||
资本公积|1,083,247,912.07|1,247,856,194.49
减：库存股||82,396,875.68
其他综合收益|13,117,318.99|21,142,335.79
专项储备||
盈余公积|587,236,699.24|528,490,097.67
一般风险准备||
未分配利润|3,737,528,881.96|3,583,203,286.16
归属于母公司所有者权益合计|6,815,303,612.26|6,714,900,238.43
少数股东权益|734,869,632.62|864,138,860.80
所有者权益合计|7,550,173,244.88|7,579,039,099.23
负债和所有者权益总计|15,986,201,497.53|15,315,070,235.18
