page|97
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||7,675,247,398.01|6,410,571,033.64
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||13,534,862.74|19,936,401.41
收到其他与经营活动有关的现金|六、52|83,614,531.58|74,111,742.82
经营活动现金流入小计||7,772,396,792.33|6,504,619,177.87
购买商品、接受劳务支付的现金||6,459,911,140.47|5,580,397,963.67
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||234,828,370.95|255,040,386.74
支付的各项税费||242,489,266.55|233,404,701.27
支付其他与经营活动有关的|六、52|188,223,945.47|161,804,270.92
page|98
现金|||
经营活动现金流出小计||7,125,452,723.44|6,230,647,322.60
经 营 活动 产生 的 现金 流量净额||646,944,068.89|273,971,855.27
二、投资活动产生的现金流量：|||
收回投资收到的现金||14,228,310.15|10,448,142.26
取得投资收益收到的现金||2,202,513.45|944,041.60
处置固定资产、无形资产和其他长期资产收回的现金净额||24,727,627.96|688,417.01
处置子公司及其他营业单位收到的现金净额|||18,276,174.88
收到其他与投资活动有关的现金|六、52|2,965,198.59|216,021,176.24
投资活动现金流入小计||44,123,650.15|246,377,951.99
购建固定资产、无形资产和其他长期资产支付的现金||66,955,152.79|84,614,656.71
投资支付的现金||68,580,103.93|17,613,406.87
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||67,210,868.36|124,530,265.89
投资活动现金流出小计||202,746,125.08|226,758,329.47
投 资 活动 产生 的 现金 流量净额||-158,622,474.93|19,619,622.52
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||9,000,000.00
其中：子公司吸收少数股东投资收到的现金|||9,000,000.00
取得借款收到的现金||2,696,429,401.35|2,678,644,256.90
收到其他与筹资活动有关的现金|六、52|231,028,953.38|120,363,683.83
筹资活动现金流入小计||2,927,458,354.73|2,808,007,940.73
偿还债务支付的现金||2,557,768,886.83|2,682,397,503.72
分配股利、利润或偿付利息支付的现金||236,940,086.54|183,925,611.15
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金|六、52|442,315,563.15|262,442,918.27
筹资活动现金流出小计||3,237,024,536.52|3,128,766,033.14
筹 资 活动 产生 的 现金 流量净额||-309,566,181.79|-320,758,092.41
四、汇率变动对现金及现金等价物的影响||1,511,864.80|13,586,796.26
五、现金及现金等价物净增加额||180,267,276.97|-13,579,818.36
加：期初现金及现金等价物余额||571,140,838.66|584,720,657.02
六、期末现金及现金等价物余额||751,408,115.63|571,140,838.66
