page|63
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|六、1|1,600,940,257.12|910,968,286.77
结算备付金|||
拆出资金|||
交易性金融资产|||
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|六、2|0.00|146,025,492.42
应收账款|六、3|139,104,403.38|135,497,106.26
应收款项融资|六、4|213,284,689.31|
预付款项|六、5|41,495,741.89|40,897,240.94
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|六、6|46,650,940.44|41,162,857.01
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货|六、7|2,417,595,319.49|2,370,867,505.91
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|六、8|3,592,753.30|1,178,265.15
流动资产合计||4,462,664,104.93|3,646,596,754.46
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|六、9||
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|六、10|120,902,953.70|115,757,957.90
其他权益工具投资|六、11|0.00|
其他非流动金融资产|||
投资性房地产|六、12|112,360,600.00|112,749,300.00
固定资产|六、13|686,647,003.61|619,057,879.64
在建工程|六、14|170,136,312.48|121,643,561.62
生产性生物资产|||
油气资产|||
使用权资产|||
page|64
无形资产|六、15|137,841,973.91|140,291,415.66
开发支出|||
商誉|||
长期待摊费用|六、16|63,613,561.26|59,846,055.85
递延所得税资产|六、17|22,095,200.18|26,094,346.34
其他非流动资产|六、18|243,749.99|321,583.32
非流动资产合计||1,313,841,355.13|1,195,762,100.33
资产总计||5,776,505,460.06|4,842,358,854.79
流动负债：|||
短期借款|六、19|840,000,000.00|664,000,000.00
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|六、20|218,350,000.00|172,950,000.00
应付账款|六、21|183,305,415.22|173,936,226.54
预收款项|六、22|253,446,633.62|247,232,786.37
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|六、23|123,189,551.56|118,893,858.66
应交税费|六、24|297,466,105.22|204,284,024.54
其他应付款|六、25|574,978,706.78|493,467,665.81
其中：应付利息|||
应付股利||754,977.24|18,951.47
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|六、26||555,694.93
流动负债合计||2,490,736,412.40|2,075,320,256.85
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|六、27|12,869,890.29|29,095,149.41
预计负债|||
递延收益|六、28|17,233,227.34|10,459,014.53
递延所得税负债|六、17|15,225,695.02|12,735,576.76
其他非流动负债|||
非流动负债合计||45,328,812.65|52,289,740.70
page|65
负债合计||2,536,065,225.05|2,127,609,997.55
所有者权益（或股东权益）：|||
实收资本（或股本）|六、29|336,644,000.00|337,300,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|六、30|875,624,363.53|845,729,874.42
减：库存股|六、31|281,818,889.78|299,997,772.78
其他综合收益|六、32|465,650.16|465,650.16
专项储备|||
盈余公积|六、33|245,661,793.43|245,661,793.43
一般风险准备|||
未分配利润|六、34|1,861,478,729.14|1,386,875,543.27
归属于母公司所有者权益（或股东权益）合计||3,038,055,646.48|2,516,035,088.50
少数股东权益||202,384,588.53|198,713,768.74
所有者权益（或股东权益）合计||3,240,440,235.01|2,714,748,857.24
负债和所有者权益（或股东权益）总计||5,776,505,460.06|4,842,358,854.79
