page|84
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|5,064,224,581.46|2,526,409,541.40
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
page|85
应收票据|95,456,357.50|93,200,000.00
应收账款|2,997,010,508.82|1,340,876,919.84
应收款项融资||
预付款项|1,127,734,126.28|2,010,093,252.71
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|35,946,262.96|76,062,850.29
其中：应收利息||140,008.53
应收股利||
买入返售金融资产||
存货|1,916,375,338.89|2,214,812,395.09
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|491,278,913.90|403,909,258.64
流动资产合计|11,728,026,089.81|8,665,364,217.97
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||96,836,483.33
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|210,436,179.18|215,541,625.97
其他权益工具投资||
其他非流动金融资产|6,946,466.60|
投资性房地产||
固定资产|180,606,150.34|207,007,011.52
在建工程||
生产性生物资产||
油气资产||
使用权资产||
无形资产|4,851,078,019.24|2,856,319,746.25
page|86
开发支出|38,338,883.84|
商誉||
长期待摊费用|61,646,861.37|65,989,740.93
递延所得税资产||3,938,878.58
其他非流动资产|1,127,499.30|379,080.00
非流动资产合计|5,350,180,059.87|3,446,012,566.58
资产总计|17,078,206,149.68|12,111,376,784.55
流动负债：||
短期借款|349,816,947.83|196,097,600.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据|325,880,463.11|266,521,867.49
应付账款|5,048,443,928.94|3,363,276,945.77
预收款项|1,192,477,979.60|1,548,908,099.25
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|589,359,251.74|431,382,836.47
应交税费|137,563,508.65|133,505,920.73
其他应付款|202,952,467.24|180,049,111.27
其中：应付利息||224,226.31
应付股利||
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债|10,400,000.00|
其他流动负债|78,695,861.52|59,715,071.74
流动负债合计|7,935,590,408.63|6,179,457,452.72
page|87
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||2,500,000.00
长期应付职工薪酬||33,450,000.00
预计负债|14,232,872.30|9,127,973.60
递延收益|308,425,484.68|212,587,159.24
递延所得税负债||
其他非流动负债||
非流动负债合计|322,658,356.98|257,665,132.84
负债合计|8,258,248,765.61|6,437,122,585.56
所有者权益：||
股本|1,780,377,511.00|990,023,518.00
其他权益工具||
其中：优先股||
永续债||
资本公积|4,838,937,706.35|3,641,091,029.73
减：库存股||
其他综合收益||
专项储备||
盈余公积|84,782,321.71|84,782,321.71
一般风险准备||
未分配利润|2,079,761,680.01|923,476,426.28
归属于母公司所有者权益合计|8,783,859,219.07|5,639,373,295.72
少数股东权益|36,098,165.00|34,880,903.27
所有者权益合计|8,819,957,384.07|5,674,254,198.99
负债和所有者权益总计|17,078,206,149.68|12,111,376,784.55
