page|69
项目|2019 年度|2018 年度
一、经营活动产生的现金流量：||
销售商品、提供劳务收到的现金|621,403,025.06|715,309,480.95
客户存款和同业存放款项净增加额||
向中央银行借款净增加额||
向其他金融机构拆入资金净增加额||
收到原保险合同保费取得的现金||
收到再保业务现金净额||
page|70
保户储金及投资款净增加额||
收取利息、手续费及佣金的现金||
拆入资金净增加额||
回购业务资金净增加额||
代理买卖证券收到的现金净额||
收到的税费返还|39,593,293.00|82,762,412.80
收到其他与经营活动有关的现金|15,800,108.07|6,047,198.42
经营活动现金流入小计|676,796,426.13|804,119,092.17
购买商品、接受劳务支付的现金|461,623,855.13|515,142,668.33
客户贷款及垫款净增加额||
存放中央银行和同业款项净增加额||
支付原保险合同赔付款项的现金||
拆出资金净增加额||
支付利息、手续费及佣金的现金||
支付保单红利的现金||
支付给职工以及为职工支付的现金|117,907,893.57|142,454,964.64
支付的各项税费|23,448,619.62|34,955,290.33
支付其他与经营活动有关的现金|30,920,885.25|51,749,862.13
经营活动现金流出小计|633,901,253.57|744,302,785.43
经营活动产生的现金流量净额|42,895,172.56|59,816,306.74
二、投资活动产生的现金流量：||
收回投资收到的现金|1,055,030,468.75|222,072,916.67
取得投资收益收到的现金|23,419,787.69|13,819,071.89
处置固定资产、无形资产和其他长期资产收回的现金净额|2,175,340.80|77,000.00
处置子公司及其他营业单位收到的现金净额||
收到其他与投资活动有关的现金||
投资活动现金流入小计|1,080,625,597.24|235,968,988.56
购建固定资产、无形资产和其他长期资产支付的现金|12,936,981.56|3,626,098.84
投资支付的现金|1,105,000,000.00|426,000,000.00
质押贷款净增加额||
取得子公司及其他营业单位支付的现金净额||
支付其他与投资活动有关的现金||
投资活动现金流出小计|1,117,936,981.56|429,626,098.84
投资活动产生的现金流量净额|-37,311,384.32|-193,657,110.28
page|71
三、筹资活动产生的现金流量：||
吸收投资收到的现金||
其中：子公司吸收少数股东投资收到的现金||
取得借款收到的现金||
收到其他与筹资活动有关的现金||
筹资活动现金流入小计||
偿还债务支付的现金||
分配股利、利润或偿付利息支付的现金||3,053,980.71
其中：子公司支付给少数股东的股利、利润||
支付其他与筹资活动有关的现金||3,221,522.61
筹资活动现金流出小计||6,275,503.32
筹资活动产生的现金流量净额||-6,275,503.32
四、汇率变动对现金及现金等价物的影响|491,825.76|14,898,849.15
五、现金及现金等价物净增加额|6,075,614.00|-125,217,457.71
加：期初现金及现金等价物余额|72,676,393.17|197,893,850.88
六、期末现金及现金等价物余额|78,752,007.17|72,676,393.17
