page|80
项目|附注|2019年度|2018年度
一、经营活动产生的现金流量：|||
销售商品、提供劳务收到的现金||4,486,547,752.87|3,899,254,150.72
客户存款和同业存放款项净增加额|||
向中央银行借款净增加额|||
向其他金融机构拆入资金净增加额|||
收到原保险合同保费取得的现金|||
收到再保业务现金净额|||
保户储金及投资款净增加额|||
收取利息、手续费及佣金的现金|||
拆入资金净增加额|||
回购业务资金净增加额|||
代理买卖证券收到的现金净额|||
收到的税费返还||864,570.13|
page|81
收到其他与经营活动有关的现金||86,242,010.81|88,079,243.76
经营活动现金流入小计||4,573,654,333.81|3,987,333,394.48
购买商品、接受劳务支付的现金||2,083,371,319.48|2,047,137,396.35
客户贷款及垫款净增加额|||
存放中央银行和同业款项净增加额|||
支付原保险合同赔付款项的现金|||
拆出资金净增加额|||
支付利息、手续费及佣金的现金|||
支付保单红利的现金|||
支付给职工及为职工支付的现金||527,787,674.76|454,429,732.47
支付的各项税费||422,588,871.56|230,504,087.42
支付其他与经营活动有关的现金||819,955,134.81|642,045,570.79
经营活动现金流出小计||3,853,703,000.61|3,374,116,787.03
经营活动产生的现金流量净额||719,951,333.20|613,216,607.45
二、投资活动产生的现金流量：|||
收回投资收到的现金||1,137,439,277.08|1,025,764,103.78
取得投资收益收到的现金||2,000,000.00|2,000,000.00
处置固定资产、无形资产和其他长期资产收回的现金净额||144,822.05|1,510,358.21
处置子公司及其他营业单位收到的现金净额|||
收到其他与投资活动有关的现金|||
投资活动现金流入小计||1,139,584,099.13|1,029,274,461.99
购建固定资产、无形资产和其他长期资产支付的现金||531,552,256.52|485,705,214.89
投资支付的现金||1,143,486,839.63|1,307,500,000.00
质押贷款净增加额|||
取得子公司及其他营业单位支付的现金净额|||
支付其他与投资活动有关的现金||103,000,000.00|
投资活动现金流出小计||1,778,039,096.15|1,793,205,214.89
投资活动产生的现金流量净额||-638,454,997.02|-763,930,752.90
三、筹资活动产生的现金流量：|||
吸收投资收到的现金|||151,819,000.00
其中：子公司吸收少数股东投资收到的现金|||
取得借款收到的现金||435,060,276.85|531,322,842.50
收到其他与筹资活动有关的现金|||
筹资活动现金流入小计||435,060,276.85|683,141,842.50
偿还债务支付的现金||435,060,276.85|641,088,842.50
分配股利、利润或偿付利息支付的现金||119,972,591.02|41,158,565.23
其中：子公司支付给少数股东的股利、利润|||
支付其他与筹资活动有关的现金||16,622,000.00|14,528,301.88
筹资活动现金流出小计||571,654,867.87|696,775,709.61
筹资活动产生的现金流量净额||-136,594,591.02|-13,633,867.11
四、汇率变动对现金及现金等价物的影响||875,221.19|-256,165.62
五、现金及现金等价物净增加额||-54,223,033.65|-164,604,178.18
加：期初现金及现金等价物余额||1,138,592,799.41|1,303,196,977.59
page|82
六、期末现金及现金等价物余额||1,084,369,765.76|1,138,592,799.41
page|83
加：期初现金及现金等价物余额||486,280,636.10|808,019,760.82
六、期末现金及现金等价物余额||409,712,103.58|486,280,636.10
