page|80
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金|七、1|1,802,969,127.08|1,689,824,158.58
结算备付金|||
拆出资金|||
page|81
交易性金融资产|七、2|2,003,419.49|
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据|七、4|57,749,348.79|12,225,954.70
应收账款|七、5|216,089,946.44|219,115,111.99
应收款项融资|||
预付款项|七、7|2,088,547.24|2,647,400.59
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款|七、8|103,703.45|8,056,297.71
其中：应收利息|||8,010,507.71
应收股利|||
买入返售金融资产|||
存货|七、9|14,253,542.64|9,624,877.91
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产|七、12|3,111,840.89|3,000,603.85
流动资产合计||2,098,369,476.02|1,944,494,405.33
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||513,750,110.22
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资|七、16|47,790,119.70|
其他权益工具投资|七、17|604,439,631.70|
其他非流动金融资产|||
投资性房地产|||
固定资产|七、20|303,795,634.36|307,004,601.60
在建工程|七、21|45,096,153.83|62,666,256.68
生产性生物资产|七、22|2,023,515.94|1,341,020.78
油气资产|||
使用权资产|||
无形资产|七、25|60,300,789.45|80,436,883.85
开发支出|||
商誉|||
长期待摊费用|七、28||5,200.16
递延所得税资产|七、29|8,291,714.71|7,135,057.84
其他非流动资产|七、30|3,735,764.81|3,358,925.30
非流动资产合计||1,075,473,324.50|975,698,056.43
资产总计||3,173,842,800.52|2,920,192,461.76
流动负债：|||
短期借款|||
向中央银行借款|||
拆入资金|||
page|82
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据|||
应付账款|七、35|229,613,773.80|231,079,354.35
预收款项|七、36|4,027,602.42|3,188,664.50
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬|七、37|14,071,844.27|13,194,221.16
应交税费|七、38|30,540,713.55|24,174,155.69
其他应付款|七、39|51,842,580.58|53,926,096.33
其中：应付利息|||
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债|||
其他流动负债|||
流动负债合计||330,096,514.62|325,562,492.03
非流动负债：|||
保险合同准备金|||
长期借款|||
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||
长期应付职工薪酬|||
预计负债|||
递延收益|七、49|41,682,094.56|46,694,429.04
递延所得税负债|七、29|74,066,081.01|67,221,112.00
其他非流动负债|||
非流动负债合计||115,748,175.57|113,915,541.04
负债合计||445,844,690.19|439,478,033.07
所有者权益（或股东权益）：|||
实收资本（或股本）|七、51|160,000,000.00|160,000,000.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积|七、53|981,822,401.76|981,822,401.76
减：库存股|||
其他综合收益|七、55|30,854,596.95|-28,381,496.30
专项储备|||
盈余公积|七、57|80,000,000.00|80,000,000.00
一般风险准备|||
page|83
未分配利润|七、58|1,475,321,111.62|1,287,273,523.23
归属于母公司所有者权益（或股东权益）合计||2,727,998,110.33|2,480,714,428.69
少数股东权益|||
所有者权益（或股东权益）合计||2,727,998,110.33|2,480,714,428.69
负债和所有者权益（或股东权益）总计||3,173,842,800.52|2,920,192,461.76
