page|79
项目|2019 年度|2018 年度
一、营业总收入|877,067,102.96|659,404,116.18
其中：营业收入|877,067,102.96|659,404,116.18
利息收入||
已赚保费||
手续费及佣金收入||
二、营业总成本|862,777,143.98|705,818,540.60
其中：营业成本|687,445,081.92|539,123,097.78
利息支出||
手续费及佣金支出||
退保金||
赔付支出净额||
提取保险责任合同准备金净额||
保单红利支出||
分保费用||
税金及附加|9,386,128.39|10,230,211.61
销售费用|58,689,269.07|49,633,616.66
管理费用|76,491,043.08|82,066,863.15
研发费用|32,867,189.90|29,117,611.93
财务费用|-2,101,568.38|-4,352,860.53
其中：利息费用|2,745,675.25|4,389,997.02
利息收入|1,147,069.33|2,789,995.48
加：其他收益|9,983,335.68|10,863,125.75
投资收益（损失以“－”号填列）|308,187.01|
其中：对联营企业和合营企业的投资收益||
以摊余成本计量的金||
page|80
融资产终止确认收益||
汇兑收益（损失以“-”号填列）||
净敞口套期收益（损失以“－”号填列）||
公允价值变动收益（损失以“－”号填列）||
信用减值损失（损失以“-”号填列）|-1,375,087.76|
资产减值损失（损失以“-”号填列）|-6,553,787.83|-18,507,570.55
资产处置收益（损失以“-”号填列）|48,914,348.36|129,318,984.13
三、营业利润（亏损以“－”号填列）|65,566,954.44|75,260,114.91
加：营业外收入|16,364,508.98|28,510,386.58
减：营业外支出|1,970,906.10|12,186,151.78
四、利润总额（亏损总额以“－”号填列）|79,960,557.32|91,584,349.71
减：所得税费用|14,319,856.99|47,303,370.89
五、净利润（净亏损以“－”号填列）|65,640,700.33|44,280,978.82
（一）按经营持续性分类||
1.持续经营净利润（净亏损以“－”号填列）|65,640,700.33|44,280,978.82
2.终止经营净利润（净亏损以“－”号填列）||
（二）按所有权归属分类||
1.归属于母公司所有者的净利润|64,709,876.70|44,986,811.63
2.少数股东损益|930,823.63|-705,832.81
六、其他综合收益的税后净额|2,003,434.79|-3,419.11
归属母公司所有者的其他综合收益的税后净额|2,003,434.79|-3,419.11
（一）不能重分类进损益的其他综合收益|1,999,979.41|
1.重新计量设定受益计划变动额||
2.权益法下不能转损益的其他综合收益||
page|81
3.其他权益工具投资公允价值变动|1,999,979.41|
4.企业自身信用风险公允价值变动||
5.其他||
（二）将重分类进损益的其他综合收益|3,455.38|-3,419.11
1.权益法下可转损益的其他综合收益||
2.其他债权投资公允价值变动||
3.可供出售金融资产公允价值变动损益||
4.金融资产重分类计入其他综合收益的金额||
5.持有至到期投资重分类为可供出售金融资产损益||
6.其他债权投资信用减值准备||
7.现金流量套期储备||
8.外币财务报表折算差额|3,455.38|-3,419.11
9.其他||
归属于少数股东的其他综合收益的税后净额||
七、综合收益总额|67,644,135.12|44,277,559.71
归属于母公司所有者的综合收益总额|66,713,311.49|44,983,392.52
归属于少数股东的综合收益总额|930,823.63|-705,832.81
八、每股收益：||
（一）基本每股收益|0.1533|0.1072
（二）稀释每股收益|0.1521|0.1069
