page|55
项目|附注|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：|||
货币资金||1,151,604,294.11|559,603,632.32
结算备付金|||
拆出资金|||
交易性金融资产||92,368,459.68|
以公允价值计量且其变动计入当期损益的金融资产|||
衍生金融资产|||
应收票据||1,424,101,381.36|1,106,100,578.18
应收账款||5,175,354,284.43|4,385,701,664.97
应收款项融资|||
预付款项||35,862,108.13|64,974,902.16
应收保费|||
应收分保账款|||
应收分保合同准备金|||
其他应收款||139,951,768.62|207,675,507.79
其中：应收利息|||
应收股利|||
买入返售金融资产|||
存货||471,170,071.24|637,888,147.48
持有待售资产|||
一年内到期的非流动资产|||
其他流动资产||40,672,839.76|127,201,907.87
流动资产合计||8,531,085,207.33|7,089,146,340.77
非流动资产：|||
发放贷款和垫款|||
债权投资|||
可供出售金融资产|||21,300,000.00
其他债权投资|||
持有至到期投资|||
长期应收款|||
长期股权投资||25,004,606.04|25,384,647.50
其他权益工具投资||541,945.07|-
其他非流动金融资产||28,640,000.00|-
投资性房地产||23,357,468.12|24,843,601.04
固定资产||524,032,816.83|460,179,296.82
在建工程||22,592,159.69|13,194,316.01
生产性生物资产|||
油气资产|||
使用权资产|||
page|56
无形资产||66,157,443.17|48,442,346.86
开发支出|||
商誉||310,520,798.53|322,662,923.44
长期待摊费用||28,509,635.73|21,219,842.18
递延所得税资产||94,892,608.46|59,465,137.71
其他非流动资产||19,474,898.83|32,318,310.54
非流动资产合计||1,143,724,380.47|1,029,010,422.10
资产总计||9,674,809,587.80|8,118,156,762.87
流动负债：|||
短期借款||992,261,396.03|962,610,222.65
向中央银行借款|||
拆入资金|||
交易性金融负债|||
以公允价值计量且其变动计入当期损益的金融负债|||
衍生金融负债|||
应付票据||832,725,652.61|320,505,683.07
应付账款||4,087,579,867.99|3,641,207,819.86
预收款项||336,267,320.07|401,499,114.45
卖出回购金融资产款|||
吸收存款及同业存放|||
代理买卖证券款|||
代理承销证券款|||
应付职工薪酬||17,943,072.88|15,766,639.14
应交税费||71,985,402.23|67,570,502.91
其他应付款||41,870,203.26|26,129,235.55
其中：应付利息|||2,280,324.93
应付股利|||
应付手续费及佣金|||
应付分保账款|||
持有待售负债|||
一年内到期的非流动负债||336,042,094.27|97,277,777.50
其他流动负债||466,224,087.44|269,754,249.11
流动负债合计||7,182,899,096.78|5,802,321,244.24
非流动负债：|||
保险合同准备金|||
长期借款||10,289,202.50|272,507,821.98
应付债券|||
其中：优先股|||
永续债|||
租赁负债|||
长期应付款|||104,424,539.81
长期应付职工薪酬|||
预计负债|||
递延收益|||
递延所得税负债||2,009,373.18|1,118,362.63
其他非流动负债|||
非流动负债合计||12,298,575.68|378,050,724.42
page|57
负债合计||7,195,197,672.46|6,180,371,968.66
所有者权益（或股东权益）：|||
实收资本（或股本）||538,213,833.00|538,404,333.00
其他权益工具|||
其中：优先股|||
永续债|||
资本公积||641,823,247.35|521,013,937.63
减：库存股||70,489,855.96|68,102,030.40
其他综合收益||-1,810,833.75|-2,152,286.73
专项储备|||
盈余公积||67,938,927.17|67,826,845.01
一般风险准备|||
未分配利润||962,432,248.95|765,341,614.33
归属于母公司所有者权益（或股东权益）合计||2,138,107,566.76|1,822,332,412.84
少数股东权益||341,504,348.58|115,452,381.37
所有者权益（或股东权益）合计||2,479,611,915.34|1,937,784,794.21
负债和所有者权益（或股东权益）总计||9,674,809,587.80|8,118,156,762.87
