page|80
项目|2019 年 12 月 31 日|2018 年 12 月 31 日
流动资产：||
货币资金|2,769,563,219.47|1,938,847,377.33
结算备付金||
拆出资金||
交易性金融资产||
以公允价值计量且其变动计入当期损益的金融资产||
衍生金融资产||
应收票据||700,000.00
应收账款|245,278,567.07|244,266,265.32
应收款项融资|1,271,561.19|
预付款项|149,396,515.54|149,194,205.19
应收保费||
应收分保账款||
应收分保合同准备金||
其他应收款|26,666,857.37|34,538,096.34
其中：应收利息||
应收股利||
买入返售金融资产||
存货|3,924,360,116.60|3,859,772,067.59
合同资产||
持有待售资产||
一年内到期的非流动资产||
其他流动资产|63,334,210.35|82,976,553.13
流动资产合计|7,179,871,047.59|6,310,294,564.90
非流动资产：||
发放贷款和垫款||
债权投资||
可供出售金融资产||36,542,876.03
其他债权投资||
持有至到期投资||
长期应收款||
长期股权投资|287,618,473.84|273,276,777.94
其他权益工具投资|18,622,737.93|
其他非流动金融资产||
投资性房地产||
固定资产|9,410,467,178.79|9,541,673,734.53
在建工程|104,194,630.99|298,856,687.89
生产性生物资产||
油气资产||
使用权资产||
无形资产|929,653,964.13|949,049,808.48
开发支出||
商誉|164,716,166.05|202,038,620.86
长期待摊费用||
递延所得税资产|16,364,241.58|20,014,425.91
其他非流动资产|50,002,595.87|56,999,306.80
非流动资产合计|10,981,639,989.18|11,378,452,238.44
资产总计|18,161,511,036.77|17,688,746,803.34
page|81
流动负债：||
短期借款|50,000,000.00|50,000,000.00
向中央银行借款||
拆入资金||
交易性金融负债||
以公允价值计量且其变动计入当期损益的金融负债||
衍生金融负债||
应付票据||
应付账款|1,043,243,117.89|1,060,109,816.32
预收款项|919,594,198.64|641,363,393.01
合同负债||
卖出回购金融资产款||
吸收存款及同业存放||
代理买卖证券款||
代理承销证券款||
应付职工薪酬|96,169,552.65|53,680,609.66
应交税费|164,476,060.44|239,679,610.74
其他应付款|2,008,882,531.43|1,831,208,476.38
其中：应付利息||
应付股利|95,247,145.99|91,836,867.30
应付手续费及佣金||
应付分保账款||
持有待售负债||
一年内到期的非流动负债||
其他流动负债||
流动负债合计|4,282,365,461.05|3,876,041,906.11
非流动负债：||
保险合同准备金||
长期借款||
应付债券||
其中：优先股||
永续债||
租赁负债||
长期应付款||
长期应付职工薪酬|303,481.93|712,521.18
预计负债||
递延收益|58,678,868.38|56,040,748.18
递延所得税负债|5,081,387.14|1,750,497.80
其他非流动负债||
非流动负债合计|64,063,737.45|58,503,767.16
负债合计|4,346,429,198.50|3,934,545,673.27
所有者权益：||
股本|2,818,539,341.00|2,818,539,341.00
其他权益工具||
其中：优先股||
永续债||
资本公积|4,596,924,613.73|4,596,924,613.73
减：库存股||
其他综合收益|-56,485,826.79|259,380.21
专项储备||
盈余公积|2,113,601,361.45|2,011,134,533.29
一般风险准备||
未分配利润|3,653,914,024.56|3,548,604,795.94
归属于母公司所有者权益合计|13,126,493,513.95|12,975,462,664.17
少数股东权益|688,588,324.32|778,738,465.90
所有者权益合计|13,815,081,838.27|13,754,201,130.07
负债和所有者权益总计|18,161,511,036.77|17,688,746,803.34
